,...1.x,ResponseId,Q3_recoded.x,Q4.x,Q6.x,data_same.x,data_similar.x,data,procedure_same.x,procedure_similar.x,procedure,results_same.x,results_similar.x,results,context_same.x,context_similar.x,context,rp_rejection.x,Missing.x,Notes.x,...1.y,Q3_recoded.y,Q4.y,Q6.y,data_same.y,data_similar.y,data,procedure_same.y,procedure_similar.y,procedure,results_same.y,results_similar.y,results,context_same.y,context_similar.y,context,rp_rejection.y,Missing.y,Notes.y,diff_data_same,diff_data_sim,diff_pro_same,diff_pro_sim,diff_res_same,diff_res_sim,diff_con_same,diff_con_sim,diff_rp_rej,diff_miss,diff_any,count_diff,diff_data_agg,diff_pro_agg,diff_res_agg,diff_con_agg,diff_tot_agg,dat_rec,pro_rec,res_rec,con_rec,Rejection,label
36,193,R_10OzPKSFnAj98k3,Physical,Quantitative,"If another researcher (independent) performs the same experiments as I do, the outcomes should lie within a given uncertainty limit. The experiments should be repeatable and the results not a unique occurrence.",0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,193,Physical,Quantitative,"If another researcher (independent) performs the same experiments as I do, the outcomes should lie within a given uncertainty limit. The experiments should be repeatable and the results not a unique occurrence.",0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2,0,1,1,0,2,0,1,1,0,0,Experiment
38,206,R_71XHh1S1SZfTl2p,Physical,Quantitative,"The methods should provide sufficient information to be able to reproduce the results. In quantitative science this should, at minimum, provide all the equations and algorithms used for any calculation. In the interest of increasing transparency in science, the practice of sharing the code should be encouraged.",0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,206,Physical,Quantitative,"The methods should provide sufficient information to be able to reproduce the results. In quantitative science this should, at minimum, provide all the equations and algorithms used for any calculation. In the interest of increasing transparency in science, the practice of sharing the code should be encouraged.",0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2,0,1,1,0,2,0,1,1,0,0,Transparency/Extension
17,16,R_2EcnLo1yZr0j9og,Physical,Mixed Methods,A description of the scientific observations in order to enable the replication and progress of results attained by the study.,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,16,Physical,Mixed Methods,A description of the scientific observations in order to enable the replication and progress of results attained by the study.,0,1,1,0,1,1,1,0,1,0,0,0,0,0,Reading scientific observations as the methods(procedure) used and their outcomes (data),FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2,1,1,0,0,2,1,0,1,0,0,Transparency/Extension
20,40,R_2aM2dTWmInyaTnE,Methods,Quantitative,The effects of a proposed method or technique can observed by others and it can be implemented in real scenario.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not sure how to code this,40,Methods,Quantitative,The effects of a proposed method or technique can observed by others and it can be implemented in real scenario.,0,0,0,0,1,1,0,1,1,0,0,0,0,0,???,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,0,1,1,0,2,0,1,0,0,0,Transparency/Extension
33,179,R_1cZFDhmTymKxZWU,Human,Quantitative,"If you are researching a particular concept/topic and situate it in the current disciplinary understanding, reproducibility means that you're able to apply a known method or establish an accepted understanding in your hypotheses and through your new research effort, confirm or validate that approach or understanding.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unclear how to code,179,Human,Quantitative,"If you are researching a particular concept/topic and situate it in the current disciplinary understanding, reproducibility means that you're able to apply a known method or establish an accepted understanding in your hypotheses and through your new research effort, confirm or validate that approach or understanding.",0,0,0,1,0,1,0,1,1,0,0,0,0,0,???,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,0,1,1,0,2,0,1,0,0,0,Omit
12,214,R_ulwFjkrlKNlFfup,Human,Mixed Methods,"Allowing peers to fully comprehend and reproduce your study/research by providing maximum (ethically possible) transparency on data sources, methods and analytical steps.",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,214,Human,Mixed Methods,"Allowing peers to fully comprehend and reproduce your study/research by providing maximum (ethically possible) transparency on data sources, methods and analytical steps.",1,1,2,1,1,2,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3,1,1,0,0,2,0,1,0,0,0,Transparency/Extension
27,139,R_eEi9QbInQKTRI9r,Human,Qualitative,"As a qualitative researcher doing in-depth case study research, my studies can not be perfectly reproduced. But reproducibility sits in the openness about methods and data collection practices, as well as critical reflection about strengths and weaknesses of my research. When we write about those things in the methods section in our papers and theses, their reproducibility is increased.",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,139,Human,Qualitative,"As a qualitative researcher doing in-depth case study research, my studies can not be perfectly reproduced. But reproducibility sits in the openness about methods and data collection practices, as well as critical reflection about strengths and weaknesses of my research. When we write about those things in the methods section in our papers and theses, their reproducibility is increased.",0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2,1,1,0,0,2,0,1,0,0,0,Transparency/Extension
2,164,R_UAfaJ483xTMNR5v,Human,Qualitative,"The ability of different researchers to generate the same/similar data, even if they arrive at different conclusions from those data.",0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,164,Human,Qualitative,"The ability of different researchers to generate the same/similar data, even if they arrive at different conclusions from those data.",1,1,2,0,0,0,0,0,0,0,0,0,0,0,???,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,4,1,0,1,0,2,1,0,0,0,0,Data Collection
16,8,R_1GHckm3kgFtJOF4,Physical,Quantitative,Data/observations of some variable can be recovered repeatedly by different observers/methods,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not sure how to code,8,Physical,Quantitative,Data/observations of some variable can be recovered repeatedly by different observers/methods,0,1,1,0,0,0,0,1,1,0,0,0,0,0,Discuss,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,1,0,1,0,2,1,0,0,0,0,Data Collection
28,149,R_2v1CvC90ev2nmg0,Human,Mixed Methods,"There are two slightly different meanings for ""reproducibility"" for me. For all of my work, ""reproducibility"" requires adequate description of the methods involved in gathering and analyzing data. By ""adequate"" I mean a peer could duplicate the techniques in the same or similar contexts, but not necessarily with precisely the same data. This includes both quantitative (survey, census, etc.) data and qualitative information (interviews, documents, etc.) With the latter, for example, the identity of the interviewees is typically confidential, and non-anonymous survey data cannot be shared. 

For quantitative work, reproducibility means that peers would arrive at precisely the same conclusions using the (anonymous) data and analytic techniques. This is primarily a check on errors in the data and analyses, and a check on fraudulent practices. They may arrive at different conclusions using the same data but different techniques, or when combined with additional data. And of course, they may have different interpretations of the same results.",1,0,1,1,0,1,1,0,1,1,1,2,0,0,0,149,Human,Mixed Methods,"There are two slightly different meanings for ""reproducibility"" for me. For all of my work, ""reproducibility"" requires adequate description of the methods involved in gathering and analyzing data. By ""adequate"" I mean a peer could duplicate the techniques in the same or similar contexts, but not necessarily with precisely the same data. This includes both quantitative (survey, census, etc.) data and qualitative information (interviews, documents, etc.) With the latter, for example, the identity of the interviewees is typically confidential, and non-anonymous survey data cannot be shared. 

For quantitative work, reproducibility means that peers would arrive at precisely the same conclusions using the (anonymous) data and analytic techniques. This is primarily a check on errors in the data and analyses, and a check on fraudulent practices. They may arrive at different conclusions using the same data but different techniques, or when combined with additional data. And of course, they may have different interpretations of the same results.",0,1,1,1,0,1,1,0,1,1,1,2,0,0,Tw definitions.,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2,0,0,0,1,1,1,1,1,1,0,Transparency/Extension
61,152,R_2dhEGetlwXFYOTZ,Physical,Quantitative,"Provide all knowledge, methods, tools and datasets to reproduce the results of your published research and encourage, and make easy,  further applications in different contexts.",1,0,1,1,0,1,1,0,1,0,1,1,0,0,0,152,Physical,Quantitative,"Provide all knowledge, methods, tools and datasets to reproduce the results of your published research and encourage, and make easy,  further applications in different contexts.",0,0,0,1,0,1,1,0,1,0,1,1,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,1,0,0,0,1,1,1,1,1,0,Transparency/Extension
13,55,R_3JqhzhJtJOepNLz,Methods,Quantitative,Any research or study published publicly should provide enough information so that other experts in the field can reproduce the reported results or perform the proposed study for their area of interest.,0,0,0,1,0,1,1,0,1,0,1,1,0,0,Considering area of interest to mean not the same context,55,Methods,Quantitative,Any research or study published publicly should provide enough information so that other experts in the field can reproduce the reported results or perform the proposed study for their area of interest.,0,0,0,1,0,1,1,0,1,1,0,1,0,0,Considering area of interest to mean not the same context,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,2,0,0,0,1,1,0,1,1,1,0,Transparency/Extension
52,73,R_uqNmBU2mq5WlV7j,Nature/society,Qualitative,"That other researchers could replicate the ethod with broadly the same findings. No guarantee of that in participatory qualitative research, which is context specific.",0,0,0,1,0,1,1,1,2,0,0,0,1,0,Not sure how to code the context,73,Nature/society,Qualitative,"That other researchers could replicate the ethod with broadly the same findings. No guarantee of that in participatory qualitative research, which is context specific.",0,0,0,1,0,1,1,1,2,0,1,1,1,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,1,0,0,0,1,1,0,1,1,1,0,Standard
60,150,R_33a8SWfwGBarALp,Physical,Qualitative,I understand it refers to what extent a research methodology and its resulting data set can be reproduced in other place or by other research team to confirm those original results,0,0,0,1,0,1,1,0,1,0,1,1,0,0,0,150,Physical,Qualitative,I understand it refers to what extent a research methodology and its resulting data set can be reproduced in other place or by other research team to confirm those original results,0,0,0,1,0,1,1,0,1,0,0,0,0,0,See data as a result/product of methods,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,1,0,0,0,1,1,0,1,1,1,0,Standard
67,198,R_2cj7VeYLALDM06P,Nature/society,Mixed Methods,"As a field scientist it is often not possible to reproduce our research entirely, but the methods and models and statistics employed should theoretically be understandable and reproducible in a similar context by other researchers with nearly the same results.",0,0,0,1,0,1,1,1,2,0,1,1,0,0,0,198,Nature/society,Mixed Methods,"As a field scientist it is often not possible to reproduce our research entirely, but the methods and models and statistics employed should theoretically be understandable and reproducible in a similar context by other researchers with nearly the same results.",0,0,0,1,0,1,1,1,2,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,1,0,0,0,1,1,0,1,1,1,0,Transparency/Extension
43,17,R_dn9L8gDqkGb1qjn,Human,Mixed Methods,"Carrying out the research and describing it in such a way that it can be repeated (by the same or other teams), in order to assess: the correctness of the results, differences between the surveyed different communities (the question of comparability of results), or changes over time",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,17,Human,Mixed Methods,"Carrying out the research and describing it in such a way that it can be repeated (by the same or other teams), in order to assess: the correctness of the results, differences between the surveyed different communities (the question of comparability of results), or changes over time",0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,1,0,0,1,0,1,0,1,1,1,0,Transparency/Extension
14,194,R_1hSDRBTL6L3sgdM,Physical,Quantitative,The method/result of my research is to be applied in different locations with similar conditions.,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,194,Physical,Quantitative,The method/result of my research is to be applied in different locations with similar conditions.,0,0,0,1,0,1,1,0,1,1,1,2,0,0,Transfer across contexts,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,2,0,0,1,0,1,0,1,1,1,0,Transparency/Extension
51,66,R_2R1TeCsxjcIFE0G,Human,Mixed Methods,a scientific ideal from applied sciences that under experimental conditions a test of a given hypothesis should be reproduciable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not sure,66,Human,Mixed Methods,a scientific ideal from applied sciences that under experimental conditions a test of a given hypothesis should be reproduciable,0,0,0,1,0,1,0,0,0,0,0,0,0,0,???,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,0,1,0,0,1,0,1,1,1,0,Omit
15,197,R_3RhFWCcFOFANSNP,Methods,Mixed Methods,"Reproducibility has several aspects : 
-describe and make available methods and feedbacks in order to give all possible information to researchers or practitioners who would want to re use methods and protocols in other settings/context (not as easy as it sounds to provide useful and synthetic information, i try to have researchers that obersve experimentation with users to make proper feedsbacks)
-describe/make available methods and tools for appropriation re-use
-publication of analysis and feedbacks and dissemination in research conference and professional events
It is difficult to do all and not always possible (time consuming, intellectual property on data, not paid for in projects for stable and durable online availability, etc.)",0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,197,Methods,Mixed Methods,"Reproducibility has several aspects : 
-describe and make available methods and feedbacks in order to give all possible information to researchers or practitioners who would want to re use methods and protocols in other settings/context (not as easy as it sounds to provide useful and synthetic information, i try to have researchers that obersve experimentation with users to make proper feedsbacks)
-describe/make available methods and tools for appropriation re-use
-publication of analysis and feedbacks and dissemination in research conference and professional events
It is difficult to do all and not always possible (time consuming, intellectual property on data, not paid for in projects for stable and durable online availability, etc.)",0,0,0,1,0,1,0,1,1,1,1,2,0,0,Transfer again important,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,2,0,0,1,0,1,0,1,0,1,1,Transparency/Extension
32,176,R_2rHICzIyu1pRFhk,Human,Mixed Methods,"to be able to repeat research (e.g. at another time, other case studies) and further to make research comprehensible",0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unclear how to code,176,Human,Mixed Methods,"to be able to repeat research (e.g. at another time, other case studies) and further to make research comprehensible",0,0,0,1,1,2,0,0,0,0,0,0,0,0,across contexts,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2,0,1,0,0,1,0,1,0,1,0,Transparency/Extension
46,32,R_3kncCiVVdRSCAZy,Human,Qualitative,The extent to which a concept or method can be reproduced in a different context.,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,32,Human,Qualitative,The extent to which a concept or method can be reproduced in a different context.,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,0,1,0,0,1,0,1,0,1,0,Transparency/Extension
64,161,R_2WUz2cS6o3VRklf,Human,Mixed Methods,"The possibility to reproduce an enquiry (approach, data collection methods, data analysis, etc.) in another place and/or by other people, in order to strengthen knowledge.",0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,161,Human,Mixed Methods,"The possibility to reproduce an enquiry (approach, data collection methods, data analysis, etc.) in another place and/or by other people, in order to strengthen knowledge.",1,0,1,1,0,1,0,0,0,0,1,1,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,1,0,0,0,1,0,1,0,1,0,Transparency/Extension
58,137,R_2V7w8SGACVoV66E,Human,Mixed Methods,Others should be able to reproduce/ duplicate a study given they have access to the same data.,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,137,Human,Mixed Methods,Others should be able to reproduce/ duplicate a study given they have access to the same data.,1,0,1,1,0,1,1,0,1,0,0,0,0,0,Reading 'study' as both methods and results,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,0,0,1,0,1,1,1,1,0,0,Standard
59,142,R_1QavRXigWy5kyuF,Physical,Quantitative,"A reproducible analysis is one where a researcher from outside the research group that performed the analysis can collect the same data and follow the same methods and get the same (or at least not significantly different) results. Basically, ""can I read a journal article and get the same results as the authors without a whole lot of additional investigation?""",1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,142,Physical,Quantitative,"A reproducible analysis is one where a researcher from outside the research group that performed the analysis can collect the same data and follow the same methods and get the same (or at least not significantly different) results. Basically, ""can I read a journal article and get the same results as the authors without a whole lot of additional investigation?""",1,0,1,1,0,1,1,1,2,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,1,0,0,1,0,1,1,1,1,0,0,Standard
66,190,R_2xFDivcruoNSDht,Physical,Mixed Methods,"My understanding of the term is, that I have to work as scientifically correct and precise as possible, so that consequently others can proof or discard my findings.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,not sure,190,Physical,Mixed Methods,"My understanding of the term is, that I have to work as scientifically correct and precise as possible, so that consequently others can proof or discard my findings.",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,1,0,0,1,0,1,1,1,1,0,0,Standard
11,195,R_116HHN36zSfxViV,Physical,Quantitative,the description of the analysis should be given in a manner that an expert reader (as research is mostly communicated in written form) should be able to come to the same conclusions using sound scientific analyses and the same data. Access to data is critical as analysis tools generally accessible to anyone with sufficient expertise.,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,195,Physical,Quantitative,the description of the analysis should be given in a manner that an expert reader (as research is mostly communicated in written form) should be able to come to the same conclusions using sound scientific analyses and the same data. Access to data is critical as analysis tools generally accessible to anyone with sufficient expertise.,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,3,0,1,0,0,1,1,1,1,0,0,Transparency/Extension
54,118,R_AHX6WT4bPNoRptv,Human,Qualitative,"Working from a qualitative paradigm, research standards should be rigorous and transparent but qualitative research isn't necessarily reproducible - especially for ethnography, which is my preferred methodological approach. But outside of qualitative work I understand ""reproducibility"" to mean that statistical/data/empicial evidence should be able to be examined and analysis conducted by other researchers should be able to replicate the steps that the original researcher took to achieve their results.",1,0,1,1,0,1,1,0,1,0,0,0,1,0,0,118,Human,Qualitative,"Working from a qualitative paradigm, research standards should be rigorous and transparent but qualitative research isn't necessarily reproducible - especially for ethnography, which is my preferred methodological approach. But outside of qualitative work I understand ""reproducibility"" to mean that statistical/data/empicial evidence should be able to be examined and analysis conducted by other researchers should be able to replicate the steps that the original researcher took to achieve their results.",0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,1,0,0,0,1,1,1,1,0,1,Transparency/Extension
63,156,R_VVHDE3FvgfGCDIJ,Methods,Quantitative,"Both the methodological framework and specific algorithm used can be implemented by using existing tools or code, and can be re-run with the expeimental dataset to reach (almost) same results.",1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,156,Methods,Quantitative,"Both the methodological framework and specific algorithm used can be implemented by using existing tools or code, and can be re-run with the expeimental dataset to reach (almost) same results.",0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,1,0,0,0,1,1,1,1,0,0,Standard
10,173,R_2saMeb0jVk0J4L6,Human,Qualitative,"In the hard sciences it is ability to trace a research process in order to reconstruct how a specific outcome was achieved.
In the social sciences this does not make too much sense and I would interpret reproducibility as and ability to use an established research approach or methodology in order to achieve significant (not identical) results in a different research context",0,0,0,0,1,1,0,1,1,0,1,1,1,0,0,173,Human,Qualitative,"In the hard sciences it is ability to trace a research process in order to reconstruct how a specific outcome was achieved.
In the social sciences this does not make too much sense and I would interpret reproducibility as and ability to use an established research approach or methodology in order to achieve significant (not identical) results in a different research context",0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,3,0,0,0,1,1,0,1,1,0,1,Standard
