"","ResponseId","Q3_recoded","Q4","Q6"
"28","R_1C151ckFQ0fubI0","Physical","Mixed Methods","can others get the same result we did"
"29","R_2bOYuLjGWXyvolX","Nature/society","Quantitative","Do we share enough information about our methods such that someone else, given access to similar data, could repeat the analysis"
"30","R_3PS6ZwEUGQGVNbe","Human","Quantitative","Others are able to attempt to reproduce my findings in a published journal article give access to data and code."
"31","R_2rDbqNnByTEM3pH","Methods","Quantitative",NA
"32","R_3kncCiVVdRSCAZy","Human","Qualitative","The extent to which a concept or method can be reproduced in a different context."
"33","R_9EMFwGgsXJJ0mxX","Human","Mixed Methods","The ability for others to conduct the same research using my methodology."
"34","R_3LdVAlBeil1pPkJ","Physical","Mixed Methods","Reproducibility in my case is the possibility of the replicating and repeating of the proposed approach"
"35","R_ONFeaY0UxhS5HHj","Methods","Quantitative","Someone else being able to reproduce the findings using the methodology provided"
"36","R_1lc9uNrzDev2jbD","Physical","Mixed Methods","Providing detailed methodologies and possibly data and codes that can be used to reproduce results. Also to enable other researchers use methods confidently in their studies."
"37","R_2ygekBbNQW7Ko6U","Physical","Mixed Methods","Being able to read and interpret the methods outlines in my research and produce the same results.  If the methods aren't clearly explained in a way that a working scientist can't reexamine them, I would say that work has a reproductibility problem"
"38","R_1PRX9hoSmJAowNa","Methods","Quantitative","The ability of a research to have its procedures and outcomes reproduced."
"39","R_3lXqZe3fUBXVpP8","Human","Qualitative","The extent to which the research design can be replicated in different geographical contexts"
"40","R_2aM2dTWmInyaTnE","Methods","Quantitative","The effects of a proposed method or technique can observed by others and it can be implemented in real scenario."
"41","R_3LhkVXgtdkK6IOR","Methods","Quantitative","The research can be repeated with the same condition."
"42","R_5d2qqOiCDldenrr","Human","Mixed Methods","The ability to recreate the same experiment or research given similar contexts and resources."
"43","R_2VaRq5PbXhScxGp","Methods","Mixed Methods",NA
"44","R_3PRnEpYOyqf5TEY","Physical","Mixed Methods","For the term ""reproducibility"", I am more concerned with the broader applicability of the research method or results."
"45","R_3R1pDNGfJNwC5fl","Methods","Mixed Methods","Interpolation"
"46","R_aWqs9BqHalJPYsN","Human","Qualitative","obtaining consistent research findings using the same data and analysis methods"
"47","R_3L1gKRijWwBksXA","Physical","Quantitative","An ability to produce consistent results when an experiment is repeated!"
"48","R_3GdCuIVR9x5HnmR","Methods","Mixed Methods","Reproducibility means being able to create the same outputs using the same data and methods by another researcher. This definition changes slightly depending what science you focus on as it can be altered for more GIS/Data Science researchers as this term is used slightly differently in computer science."
"49","R_2w7dNdQLcKE3NQq","Physical","Mixed Methods","The experimental results which will be reproduced by others under the same procedure"
"50","R_1LzA7lIjsqr41wj","Methods","Quantitative","Sharing data and code when submitting papers to journals. Drawing figures with code instead of softwares."
"51","R_sGajci8EN3p6VTb","Nature/society","Mixed Methods","Following methods a workflows that are reproducible by other scholars with the aim of demonstrating validity of research conclusions."
"52","R_3MxnlKS3hC5ET6l","Human","Qualitative","if some had access to the same research participants/primary sources and were using the same methods, they would come to the same conclusions/analysis"
"53","R_0ICyV5xgAsZ2FYl","Physical","Mixed Methods","I am a paleoclimatologist working on sediment chronology and geochemistry. Thus, data reproducibility is the first priority in our research. Further, the paleoclimate reconstruction, we make as per the geochemical variability should corroborate and thus reproduced with the globally accepted understanding of the climatic episodes."
"54","R_2zD32klEYXmuGaw","Physical","Mixed Methods",NA
"55","R_3JqhzhJtJOepNLz","Methods","Quantitative","Any research or study published publicly should provide enough information so that other experts in the field can reproduce the reported results or perform the proposed study for their area of interest."
"56","R_2CwFBUGlFvlfcnR","Physical","Quantitative",NA
"57","R_2Wu0UAmsrkxj3nU","Nature/society","Mixed Methods","Whether someone else following the same methodology would reproduce the same results"
"58","R_shaBb0wRKEJdBex","Human","Mixed Methods","Being able to reproduce the research in different sectors, geographic units..."
"59","R_2OTGFtc00n3rxeS","Physical","Mixed Methods","Other people who do the same experiment can get roughly equivalent data"
"60","R_Ti7hnbsMj3uC79D","Physical","Mixed Methods","that other researchers can not only reproduce our study (and results), but also transfer methods to other study areas, update it with new (spatial) data, or evaluate the accuracy/uncertainty of our results."
"61","R_3iyWBlm2gggYEiM","Nature/society","Qualitative","I have never heard it before in the context of my research. It was never mentioned in any of my PhD training programmes (UK). I assume it means: 'if someone else was to study this topic, would they come to the same conclusions'. In the social sciences, reproducibility is assumed to be difficult to achieve due to each researcher's positionality. Instead, we write our positionalities into our research and don't tend to strive for reproducibility per se, as life scientists would."
"62","R_1Krjq9SbtvL0co8","Human","Qualitative","Perhaps it refers to whether a certain methodological approach can be reproduced to answer the same RQ but in a different social/geographical context? I would understand it as a synonym of replicability."
"63","R_3F41dYo81zi1Dq1","Physical","Mixed Methods",NA
"64","R_2qmdq7S2dUyceXc","Physical","Quantitative","For me, reproducibility means that I describe the methods and data used for gaining my results in such a way that someone else can analyse the data following this description and will yield the same results."
"65","R_232CtupawfIiXtq","Methods","Mixed Methods","To be able to reproduce, extrapolate and transfer approaches/outputs"
"66","R_2R1TeCsxjcIFE0G","Human","Mixed Methods","a scientific ideal from applied sciences that under experimental conditions a test of a given hypothesis should be reproduciable"
"67","R_3LX7ytWfSIQqTFL","Physical","Mixed Methods","I understand reproducibility within the frame of teh Galilean Scientific Method"
"68","R_2SuGIRTFQDqTnsA","Human","Qualitative","I would understand it to mean that research findings can be reproduced in additional studies (ie. someone could follow my research design and presumably come up with the same results). It strikes me as a term that makes more sense for researchers using quantitative methods, however. As someone who largely deploys ethnographic and qualitative methods it is hard for me to imagine any of my work ever being reproducible (and would ignore the fact that my research findings are less about my study design and more about my interpretation/analysis)."
"69","R_2duJsIjzmsptTyJ","Nature/society","Quantitative","Ensuring that research is replicable."
"70","R_2BzVtanpf2gRXaV","Human","Quantitative","The ability to reproduce a certain task or method, using only the information provided in the methods section."
"71","R_1nVY94yMGyX8wzu","Human","Qualitative","I don't use the term in my own research. To me it simply means that a certain result or set of results in a study can be reproduced in another study."
"72","R_0DhQQK20MQEx7uF","Human","Quantitative","My reporting about the research should be so transparent that other researchers would be able to do the same research and check their results against mine. If possible the data I collected/used should be made available to the public so as to allow a replication study."
"73","R_uqNmBU2mq5WlV7j","Nature/society","Qualitative","That other researchers could replicate the ethod with broadly the same findings. No guarantee of that in participatory qualitative research, which is context specific."
"74","R_2fBb66i88MJxbBw","Physical","Quantitative","My field is luminescence dating. Reproducibility means that I get the same age for more than one sample from the same layer, or that another lab gets the same age from the same sample that I processed."
"75","R_31F1g0sdc503RVb","Physical","Quantitative",NA
"76","R_3EIg2GgnIxrHRwR","Other","Quantitative","research is replicable by others"
"77","R_2qwqLif5rtkCPPI","Human","Mixed Methods","that another person, conducting a similar experimental setup, or questionnaire, would come to the same conclusions"
"78","R_PtENk3TcALFtavf","Human","Qualitative","transparancy about connectio between data. methods and results"
"79","R_DTpHdZXHWwWdJ2p","Physical","Mixed Methods","Methods, sampling strategy and decisions during processing and analysis are to be described in detail so that the study can be repeated with a high chance of obtaining similar/identical results. Any inferences and conjectures are to be made explicit."
"80","R_9Ttdl9zqYuX35U5","Nature/society","Mixed Methods","That other researchers get similar results using similar methods with a similar population"
"81","R_1mls6ZhBSrnfCjU","Physical","Mixed Methods",NA
"82","R_XoI1Y5bnJNcfYvD","Human","Qualitative",NA
"83","R_3mlaE1nj42n3Jkn","Physical","Quantitative","It is the ability of third parties to obtain the same results presented in a study using the same database."
"84","R_1LGWIpV1lfqRQhH","Human","Qualitative","replicability"
"85","R_1mkpHHDTPvOKbeU","Methods","Quantitative","That all aspects of the research can be replicated. Data and sufficient metadata are associated with a study along with code, and or model parameters are documented"
"86","R_ub4GW10YmiSKqJ3","Methods","Quantitative","Giving enough details about the empirical analysis undertaken in order to make it possible, for other reserachers, to reproduce the study"
"87","R_10MI2qrzqp9x8IA","Physical","Mixed Methods","Applying measurement techniques which can guarantee that temperature or displacements are measured with a high degree of reliability over a long period of time in a challenging environment."
"88","R_3lDOD0MhxY60NpA","Nature/society","Mixed Methods","That other researchers could use the same or similar methodology without great difficulty and, given similar data, arrive at comparable results"
"89","R_27wEQfeRojFAZqp","Human","Mixed Methods","The ability for a researcher to use my data and come up with similar results or visit field sites, collect data, and come to similar conclusions."
"90","R_8AeAQXdMCM4bgR3","Human","Qualitative","the ability to repeat a certain study, using similar methods, with the expectation to get similar (or close enough) results as the original study."
"91","R_ueuHnSJkLCzi2Ax","Methods","Quantitative","That your research can be replicated by other researchers following your methodology and produce comparable results."
"92","R_27PAhFx6ES7Zw3g","Methods","Quantitative","Allowing others to conduct the same study to duplicate to repudiate the results"
"93","R_3GiCVlcNYiS7jK0","Physical","Mixed Methods","Could similar authors using similar methods come to the same conclusion?"
"94","R_2Yte8oEStq6xFtg","Human","Quantitative","Providing necessary information so that other researchers may replicate the study."
"95","R_RnoAmAEeFVUsw5b","Human","Mixed Methods","Research practices (including study design, execution, and reporting) that generate findings which may be reproduced by an independent research team following the same protocol. This requires exhaustive reporting of methods and careful attention to data validity."
"96","R_3EaKeUakcDXYUon","Human","Quantitative","Applying the same methodology in different case studies"
"97","R_9oZDBHpoNLHtm01","Methods","Quantitative","Using the same data and the same algorithm, it should be possible to reproduce any stated results exactly (i.e. to the rounding function of one's computer)."
"98","R_vq3VYpnMKXgksHD","Physical","Quantitative","Creating datasets and describing methodologies that can be reused by others."
"99","R_1LecSobzy2IQZh7","Physical","Quantitative",NA
"100","R_3P7xxkvazoD4lGM","Human","Mixed Methods","Reproducibility suggests the ability of other researchers to replicate in form and function, at least in principle, the research that another scholar has produced. This requires careful detailing by the original researcher of sources, methods, and means of data collection as well as systems of analysis."
"101","R_3PdH84PE28OWilu","Nature/society","Quantitative","Research methodology should be described and done in such a way as to allow any researcher to reproduce the same type of study based on the methodology described."
"102","R_3h5ccvuubVIUTIf","Methods","Quantitative","Another researcher, with the same data and methods, should get the same results."
"103","R_VI8rGnm5bM7h2lX","Physical","Quantitative","Would similar results be obtained from a study of the process under similar conditions.  Would another research be able to obtain these similar results."
"104","R_1l4WM5gdcrI0efD","Methods","Quantitative","Provide the enough details to ensure the potential replication of the work carried by the authors"
"105","R_2CxC4ddbE0XnGCF","Physical","Quantitative","ability to reproduce the results/findings of a project"
"106","R_3oXZSNVvIjipCg1","Human","Qualitative",NA
"107","R_5BkD1Fotn5FyGUF","Methods","Mixed Methods","The research would be re-doable by other researchers, with the same or similar data, and the results would be comparable."
"108","R_2sEz1ZISkAYPCtX","Human","Qualitative","I'm actually not sure. I primarily conduct qualitative research and I'm not familiar with the term when it comes to qualitative research. I use the term transferability, reproducibitlity sound more quantitative."
"109","R_3qTY9LpuAFOLKij","Methods","Quantitative","The ability to get the same results using the same data and methods as in the original study/paper"
"110","R_1mwxgdEgORUjvpa","Methods","Quantitative",NA
"111","R_T136R4u4f2HARLX","Methods","Quantitative","To publish data and software which led to the research results related to a published study/article. If the results are also data (GIS models/maps, simulation/modelling results) they should also be published"
"112","R_qInL61MWeeieD61","Physical","Mixed Methods","My understanding is that the quantitative data my colleagues and I collect will be identical, or nearly so, to the data collected from the same site or similar sites by other researchers. Of course, the interpretation of those data will be subject to biases inherently present in each researcher."
"113","R_3fpiI4D8bZ8O4oq","Human","Mixed Methods","I prefer using replicability. It means validate research results with a high degree of reliability if the analysis is replicated"
"114","R_10rzTBB9mklhnar","Methods","Mixed Methods","Describing the methods used and provide access to input data and possible software so that the work can be replicated to the best possible extent (when possible coming to the same results). Where applicable, any third person should be able to reproduce relevant diagrams, tables, maps etc. from the provided materials."
"115","R_3me5aCWhLQD0aKX","Methods","Quantitative","The degree of openness and technical documentation allowing any other research with an appropriate skillset to use our methods, data, and computing environment to recreate the presented results."
"116","R_7Osv8YXMNHxJFdL","Methods","Quantitative","The ability to re-generate exactly the results published based on the data and code provided by the authors."
"117","R_24i0A0k3ZKHmflz","Human","Quantitative","It is possible to reproduce the results with the same data"
"118","R_AHX6WT4bPNoRptv","Human","Qualitative","Working from a qualitative paradigm, research standards should be rigorous and transparent but qualitative research isn't necessarily reproducible - especially for ethnography, which is my preferred methodological approach. But outside of qualitative work I understand ""reproducibility"" to mean that statistical/data/empicial evidence should be able to be examined and analysis conducted by other researchers should be able to replicate the steps that the original researcher took to achieve their results."
"119","R_eyUhlpv9KYcyOeB","Nature/society","Mixed Methods","Another scholar with access to the same data would produce results that are not different from mine in a statistically significant way."
"120","R_3Ecz7SpdhM7C3Ub","Nature/society","Mixed Methods","Based on principles developed by Argyris and Schon and more recently and fully within different branches of Action Research, our research blends both traditional surveys, reflective workshops and other participatory methods, with the development of programs, such as ""Kool Routes to School"", which we then test and co-create with partners in schools, neighbourhoods, cities and regions. By reproducibility we do not claim universality, that is, that repeating the same experiment will produce the same results everywhere, but rather that some methods and /or results can be of interest to and useful for researchers and practitioners exploring similar issues in similar or even very different contexts."
"121","R_3G7GPEXtZFPEHKK","Physical","Mixed Methods","Experimental reproducibility = can the experiment be reproduced in general with reported settings.
Instrumental reproducibility = will the instrument give the same results on the same sample or a replicate sample set with analytical replicates.
Biological/chemical reproducibility = will sample replication produce the same results?
Reproducibility/replication = speaks to standard, analytical, or biological error"
"122","R_3Pucsh39MsIuQ5D","Methods","Quantitative","To reproduce the outcomes that other independent researchers has generated and probably published"
"123","R_BVfuYTRnE10Qbzr","Physical","Quantitative","Reproducibility for my research would involve making measured values public, as well as any datasets, so that others might look at the same data and come to a different conclusion. Re-sampling the sites I worked on would be next to impossible, however, due to permits in a foreign country."
"124","R_1exeB5RduG5H4A2","Physical","Quantitative","samples, data, and methods are curated and described such that another researcher is able to reproduce the results of a study"
"125","R_2ctLOm178dUNGpS","Nature/society","Quantitative","Sharing data and code to allow others to reproduce research findings"
"126","R_25vjzTPEr14MsOh","Methods","Quantitative","Providing sufficient narrative description, computer code, and data for another expert to fully recreate a published analysis."
"127","R_1mEtMwltGElYSPp","Physical","Quantitative","In short, I understand reproducibility to be the ability of other researchers to use the same methods on the same data to produce the same results."
"128","R_1MNjhhpDV15sPeV","Methods","Quantitative","Another researcher could take my data, use my analytical approach and produce the same result."
"129","R_w4uCS9aOsTiIlX3","Human","Mixed Methods","To my understanding, reproducibility is a way in which a method, tool, and concept that one has originally produced in his/her research work can be reproduced in other research activities.  For example, OSMnx is a simple python code tool that has been developed by Prof. Geoff Boeing. The tool is used by other researchers to extract road networks from OSM. The road networks that are extracted using this tool can also be reproduced in many ways in ArcGIS."
"130","R_2rBgMLoLqXtsJDe","Methods","Mixed Methods","Designing methods in such a way that another researcher of equal skill could replicate results and achieve similar results."
"131","R_3g6pPPDUIAGbpyO","Methods","Mixed Methods","The ability of performing the developed/proposed method and achieving the same results as the ones presented in a paper - report. This can be achieved by offering your code as open source or with a detailed description of the methodology, techniques and settings selected during the experiments."
"132","R_pFdMlFXTZMAGRNv","Methods","Quantitative","Possibility to recreate the analysis using original data"
"133","R_eKEuf2T2cIDdjvH","Physical","Quantitative","Data that can be obtained again and it produces the same results."
"134","R_2VDEmQJYuzV9xbB","Physical","Quantitative","That research can be done again to gain similar results"
"135","R_25AVy1GWOOCIpnH","Human","Quantitative","The results obtained by statistical analysis of data should be achieved again when the study is replicated"
"136","R_3j2HmAKzBB8fxU4","Methods","Mixed Methods",NA
"137","R_2V7w8SGACVoV66E","Human","Mixed Methods","Others should be able to reproduce/ duplicate a study given they have access to the same data."
"138","R_CkLdmpiBgItyBK9","Physical","Quantitative","Data that other researchers could collect, or an interpretation of a data set that other researchers may also find."
"139","R_eEi9QbInQKTRI9r","Human","Qualitative","As a qualitative researcher doing in-depth case study research, my studies can not be perfectly reproduced. But reproducibility sits in the openness about methods and data collection practices, as well as critical reflection about strengths and weaknesses of my research. When we write about those things in the methods section in our papers and theses, their reproducibility is increased."
"140","R_1BQtllcBfI8pkuY","Physical","Quantitative",NA
"141","R_2pRxlzkona0H5gQ","Human","Quantitative","The other researchers should be able to reproduce the results ...and that methodology should be described to support this option. 
Another aspect is whether my results reproduce the results of others. I see this as an important part of commentary and discussion of findings."
"142","R_1QavRXigWy5kyuF","Physical","Quantitative","A reproducible analysis is one where a researcher from outside the research group that performed the analysis can collect the same data and follow the same methods and get the same (or at least not significantly different) results. Basically, ""can I read a journal article and get the same results as the authors without a whole lot of additional investigation?"""
"143","R_3dS4o2NmRNwOAtq","Physical","Quantitative","For someone to be able to recreate my work based on the information I provide in the methods."
"144","R_rdQoVEQcuMUB7eF","NA","Quantitative",NA
"145","R_pLw2QBTZugAlhQd","Methods","Mixed Methods",NA
"146","R_2qqiB0VWO9IvqRI","NA","NA","It is an experimental standard.
"
"147","R_1CJFpRO1v2PiNSi","Physical","Quantitative","That research methods are described in such detail that others could reproduce/replicate them, and achieve the same results (e.g., with a statistical analysis, laboratory method, field methods etc.). 

In my field we also use the term ""analytical reproducibility"", which describes how ""reproducible"" /repeatable an instrument measures/analyses a sample/data. This statistic is determined by analysing the same sample several times."
"148","R_1EgQq2hLNgkKOof","Physical","Mixed Methods","Repeatability of analyses and results"
"149","R_2v1CvC90ev2nmg0","Human","Mixed Methods","There are two slightly different meanings for ""reproducibility"" for me. For all of my work, ""reproducibility"" requires adequate description of the methods involved in gathering and analyzing data. By ""adequate"" I mean a peer could duplicate the techniques in the same or similar contexts, but not necessarily with precisely the same data. This includes both quantitative (survey, census, etc.) data and qualitative information (interviews, documents, etc.) With the latter, for example, the identity of the interviewees is typically confidential, and non-anonymous survey data cannot be shared. 

For quantitative work, reproducibility means that peers would arrive at precisely the same conclusions using the (anonymous) data and analytic techniques. This is primarily a check on errors in the data and analyses, and a check on fraudulent practices. They may arrive at different conclusions using the same data but different techniques, or when combined with additional data. And of course, they may have different interpretations of the same results."
"150","R_33a8SWfwGBarALp","Physical","Qualitative","I understand it refers to what extent a research methodology and its resulting data set can be reproduced in other place or by other research team to confirm those original results"
"151","R_24B4AGz95i9JwDW","Nature/society","Qualitative","The ability for results/observations to be replicated/ reproduced using/following the same methods and techniques. In the context of my field of research the concept is used to test the reliability of data obtained through experimental and observational research."
"152","R_2dhEGetlwXFYOTZ","Physical","Quantitative","Provide all knowledge, methods, tools and datasets to reproduce the results of your published research and encourage, and make easy,  further applications in different contexts."
"153","R_3Mhx0nZGaCTzuBR","Physical","Mixed Methods","Reproducibility” refers to instances in which the original researcher's data and computer codes are used to regenerate the results, while “replicability” refers to instances in which a researcher collects new data to arrive at the same scientific findings as a previous study. In our research we used to this term to understand ""people traditional knowledge in terms of agriculture and soil conservation and other related fields"""
"154","R_3g7rBbQM9Vgi1lX","Human","Qualitative",NA
"155","R_3iEWRuCK0j0ql2Q","Methods","Quantitative","new and fresh applications in more fields and innovant changes in these fields, like ITS, land administration, planning, daily life."
"156","R_VVHDE3FvgfGCDIJ","Methods","Quantitative","Both the methodological framework and specific algorithm used can be implemented by using existing tools or code, and can be re-run with the expeimental dataset to reach (almost) same results."
"157","R_1LLjsy2CMGvbAsk","Physical","Quantitative","testing whether results, using the same methods, materials, and overall approach, can produce a reliably similar result that provides confidence in the scientific method that allows for objective interpretation and conclusions to be made."
"158","R_2tEbX7iPgAmMKqp","Methods","Quantitative","the proposed method can be reproduced by others with similar results"
"159","R_30qxYYrHpyitVRN","Methods","Quantitative","possibility of replicating the studies. This requires that the method is well described, availability of the same data and the same tools (scripts)."
"160","R_2YXiM1GokEmTgad","Methods","Mixed Methods","The experiments will be repeated successfully."
"161","R_2WUz2cS6o3VRklf","Human","Mixed Methods","The possibility to reproduce an enquiry (approach, data collection methods, data analysis, etc.) in another place and/or by other people, in order to strengthen knowledge."
"162","R_2xXjvj58zZPSY1v","Physical","Quantitative","Much more limited than even fields with known reproducibility problems, like psychology. I may release some R code and a cleaned data set."
"163","R_3nBMiT0UmSH5RgX","Physical","Mixed Methods","The chance to replicate the analysis to the data (by different people) obtaining the same results."
"164","R_UAfaJ483xTMNR5v","Human","Qualitative","The ability of different researchers to generate the same/similar data, even if they arrive at different conclusions from those data."
"165","R_1OlQwzsksCPhfFK","Methods","Quantitative","The posisbility to repeat the same experiment exactly with the same results on the same data, the use of a methodology tested on a given area on another area with similar performance"
"166","R_1K9fFIyaTUEieIr","Methods","Quantitative","Can others use methods we have used and replicate our results"
"167","R_2fDkz9L95BKOzfl","Human","Mixed Methods","The ability to generate consistent results and findings through the developing of appropriate research tools and models"
"168","R_2wntzztlF0YLgMd","Nature/society","Qualitative",NA
"169","R_3nOEqitKbI0tQan","Methods","Quantitative","In a broad sense, reproducibility in my research would mean that the same analysis steps performed on the same dataset always yield the same result. I distinguish it from research that is replicable, robust, or generalizable. Reproducibility requires a series of actions on the part of the researcher, such as when authors provide all the code and data necessary to recreate the analysis, as per Claerbout and Karrenback (1992), or when measurements can be independently obtained with stated precision levels by a different and independent research team, as per Ivie and Thain (2018) in ACM Comput Survey. Similar to Stodden's (2020) approach, I also consider computational reproducibility (code, hardware details, readme are made available), empirical reproducibility (open data, data access issues, appropriate interoperability, metadata, standards, ontological frameworks), and analytics reproducibility (details on model parameters, hyperparameters are made known). In my work, reproducibility crosses over into replicability - and it may be necessary to have replicability as the scientific threshold - where the same analytics performed on different datasets yields similar results. This is due to the fact that many of the datasets I work with are sensitive, containing potentially personally identifiable data, that requires special permission to use, or are not shareable because they are privately held, or are synthetically generated by private organizations. This is similar to code not being shareable if the provenance of legacy code is unavailable. Reproducible research is the gold standard and a desirable characteristic, but it may not always be possible, despite the researcher's desires and intentions."
"170","R_1rB35eJNjvTcHDS","Physical","Quantitative","For the findings of a study to be reproducible means that results obtained by an experiment or an observational study or in a statistical analysis of a data set should be achieved again with a high degree of reliability when the study is replicated."
"171","R_ZlcSeNvB5mRWGGJ","Methods","Mixed Methods","Methodology which can be used by otjer researchers"
"172","R_3rY6kwfxVvkjkQi","Methods","Mixed Methods","Apply and evaluate existing research concepts and workflows to other test sites"
"173","R_2saMeb0jVk0J4L6","Human","Qualitative","In the hard sciences it is ability to trace a research process in order to reconstruct how a specific outcome was achieved.
In the social sciences this does not make too much sense and I would interpret reproducibility as and ability to use an established research approach or methodology in order to achieve significant (not identical) results in a different research context"
"174","R_2Tw7yeabnrzzEsG","Methods","Quantitative","My understanding about the term ""reproducibility"" in the context of my own research would imply that certain obtained results would be also obtained, perhaps to a certain degree of similarity, by others researchers using the same methods."
