,ResponseId,Q3_recoded,Q4,Q10,rp_intent,notes
4,R_10JeWlbhc0UXt1U,Methods,Quantitative,"reproduction attempt based on scientific publications without code or data
implementation of published methods for my own research, no direct reproduction of the initial study",2,
6,R_3m9aQmWwPcB0bqP,Human,Quantitative,Concerns that I had made errors in the original analysis,2,
7,R_2EcnLo1yZr0j9og,Physical,Mixed Methods,"I worked with biologists that showed me the publication categorical: data paper. So, Now, I try always to write my project with a management data file (description of data) to be published as supplementary material or data paper to highlight the discussion of the object studied.",2,
12,R_1C151ckFQ0fubI0,Physical,Mixed Methods,to understand how well our methods worked,2,
16,R_1lc9uNrzDev2jbD,Physical,Mixed Methods,To double-check my results before final publication of a paper.,2,
18,R_1PRX9hoSmJAowNa,Methods,Quantitative,The increase the credibility and applicability of our theories and models.,2,???
26,R_3L1gKRijWwBksXA,Physical,Quantitative,So my research can be used by other users!,2,
35,R_232CtupawfIiXtq,Methods,Mixed Methods,Sharing knowledge should not be limited. Reproducibility would have a great impact on science improvements.,2,
36,R_3LX7ytWfSIQqTFL,Physical,Mixed Methods,Investigate alternative data intepretation,2,could be verify
37,R_2fBb66i88MJxbBw,Physical,Quantitative,To increase the reliability of my results and their acceptance by my colleagues,2,
41,R_10MI2qrzqp9x8IA,Physical,Mixed Methods,Not sure whether measurement drift was occurring.,2,
49,R_VI8rGnm5bM7h2lX,Physical,Quantitative,Usually I have my students reproduce previous research (e.g. on a simpler configuration) to validate their experimental technique/methods/analysis,2,
59,R_25vjzTPEr14MsOh,Methods,Quantitative,"I have observed an increase in use of ""off-the-shelf"" modeling algorithms that are applied with default settings and without critical examination of associated statistical assumptions.  To avoid this issue in my own research, I've made effort to be more transparent about my own analytical assumptions.",2,
60,R_1mEtMwltGElYSPp,Physical,Quantitative,"This was largely in the context of ensuring quality within my own lab. I have students with less experience conducting different analyses. Reproducing the analysis myself or by someone else is a way to double-check the results.

It may be noteworthy that in these cases the source data is the same; only the analysis of the data is repeated. The re-collection of samples from the field would be too expensive. This context may be informative to my responses the question following this one.",2,
61,R_w4uCS9aOsTiIlX3,Human,Mixed Methods,Some data and methods are important to other researchers. It may be helpful if every researcher shares that own data or methods publicly.,2,
63,R_2VDEmQJYuzV9xbB,Physical,Quantitative,Wanted to double check my own results,2,
70,R_2v1CvC90ev2nmg0,Human,Mixed Methods,"Principally as a check on the robustness of my own findings, and to learn the techniques used by other scholars.",2,
75,R_1LLjsy2CMGvbAsk,Physical,Quantitative,Method development an important part of research project,2,???
76,R_2tEbX7iPgAmMKqp,Methods,Quantitative,to improve over the methods,2,
80,R_1K9fFIyaTUEieIr,Methods,Quantitative,Obtained larger sample size and higher resolution data. More a case of producing more robust results while also confirming previous findings,2,
86,R_1cZFDhmTymKxZWU,Human,Quantitative,the results were surprising and as a means of quality control before embarking on further study,2,could be verify
87,R_3flPxT4AEmOLOTk,Physical,Quantitative,To make sure that someone else could reproduce my work following the method section published in my work.,2,
88,R_3emgvQrP9GpeXiu,Physical,Mixed Methods,"the type and quality of the results obtained, as they would generate important information for the study sites",2,
89,R_1flQYKFTsSIMnWO,Physical,Mixed Methods,"We had more data than before, and we wanted to repeat past studies to see results were also reliable.",2,replication?
94,R_2BaNI5ghpBAK0h8,Methods,Quantitative,"I did not trust the reproducibility of my own work, so I tried to reproduce it. That failed, so I started over with a colleague who could help make it more reproducible and check the validity of the research.",2,
95,R_Pwa2G1cjqoIiWqt,Physical,Quantitative,Needing to feel more confident in the results of my research,2,
96,R_2rIKv5rhV8FKofI,Physical,Mixed Methods,"In order to confirm the reliability of the results, make myself and my colleagues more believe in the experimental results",2,
98,R_3KrmJgOtvVecPv3,Human,Mixed Methods,Updating my own research based on newly available datasets.,2,
99,R_6fgYRiNY653Zpkt,Physical,Mixed Methods,"I apply standard (reproduced by different colleagues) methods in my research, which I assume or understand is an objective way to answer a common scientific question, such as When did the Patagonian glaciers reach their glacial maximum? This research implies testing former conclusions by providing new data.


",2,
1,R_2WCihkFWuowHEm7,Human,Quantitative,Interest,4,
10,R_12zf6ZKsCoZUof4,Physical,Quantitative,"'- Interested in the outcomes of a study as they aligned with research I was involved with. 
- Learning experience. 
- Teaching.",4,
13,R_3PS6ZwEUGQGVNbe,Human,Quantitative,As a teaching exercise.,4,
38,R_3EIg2GgnIxrHRwR,Other,Quantitative,data needs,4,
42,R_ueuHnSJkLCzi2Ax,Methods,Quantitative,For learning purposes and possibly apply it to my own research.,4,
51,R_2CxC4ddbE0XnGCF,Physical,Quantitative,Wanted more detailed results than provided in manuscript I was reviewing,4,
55,R_7Osv8YXMNHxJFdL,Methods,Quantitative,"Wanting to understand re-use tools/code of others, not so much interest in the actual results applicable for a given geographical area/dataset ( as I am a methodologist)",4,
66,R_CkLdmpiBgItyBK9,Physical,Quantitative,In order to understand the described method/technique more fully,4,
67,R_1QavRXigWy5kyuF,Physical,Quantitative,I had a study that I had walked away from and wanted to pick back up to publish.,4,
69,R_1CJFpRO1v2PiNSi,Physical,Quantitative,"I was learning a new type of statistical spatial analysis, and attempted to reproduce a result that is published in a high impact journal.",4,
71,R_24B4AGz95i9JwDW,Nature/society,Qualitative,"I attempted to use a well known mathematical formular to see if I can obtain a quantitative measure of a characteristic in my data, and observe the change of this characteristic. This has been done successfully in by other researchers in my field working in a different part of the world. However, there were several factors that were unique to my dataset, geographical location, which presented a challenge to do this.",4,
74,R_VVHDE3FvgfGCDIJ,Methods,Quantitative,Try the reported methods in scientific publications.,4,
83,R_2Tw7yeabnrzzEsG,Methods,Quantitative,To learn about the practical implementation of spatial econometrics or spatial statistics.,4,
91,R_10OzPKSFnAj98k3,Physical,Quantitative,I needed to understand the method and ameliorate the working process. The fastest way was to reproduce the published results as described in the publication.,4,
93,R_116HHN36zSfxViV,Physical,Quantitative,Attempt to understand the phenomenon better,4,
97,R_3sanAH0uhIkmQ8e,Methods,Mixed Methods,Test internationally approved methodologies in the context of my country,4,
100,R_3n79KR2hYWtXWOB,Human,Mixed Methods,I wanted to learn how the authors used a particular model to use it myself for my own research.,4,
102,R_1Ft9Xi9lnM9FSy7,Methods,Quantitative,To test but also learn more deeply about the methods,4,
2,R_12mOYxj6HPAHIOU,Methods,Quantitative,To see if what they did made sense.,1,
9,R_2zpdv830UKWqaaA,Human,Quantitative,It's part of good science.,1,Reading science as standard understanding. 
11,R_urVNTNoFZjaoNHj,Human,Quantitative,Check the sensitivity to different classifications,1,could be of own work though. Cross with def.
17,R_2ygekBbNQW7Ko6U,Physical,Mixed Methods,"I wanted to see if a statistical model I produced would produce similar outcomes with another researcher's data.  However, the data they published was a mess and not able to be analysed without significant work",1,re-analysis really
21,R_3LhkVXgtdkK6IOR,Methods,Quantitative,Comparison,1,???
22,R_5d2qqOiCDldenrr,Human,Mixed Methods,Timeliness and suitability,1,
24,R_3PRnEpYOyqf5TEY,Physical,Mixed Methods,"1. Interested in research methods;
2. Doubt about the results.",1,also learning
27,R_2w7dNdQLcKE3NQq,Physical,Mixed Methods,The results published by the others are inconsistent with mine.,1,
28,R_0ICyV5xgAsZ2FYl,Physical,Mixed Methods,Regional scale climate is more or less should be reproducible when attempting paleoclimate reconstruction while minor variations can be seen if the resolution of the archive used in the study is higher than the regional based climate we are dealing with...,1,???
33,R_2OTGFtc00n3rxeS,Physical,Mixed Methods,The research results of a large number of papers seem to be perfect and do not seem to accord with the facts.,1,
34,R_2qmdq7S2dUyceXc,Physical,Quantitative,"In reviewing I take it as my duty to at least do a plausibilty check on the data published. 

With my own research, I always try to reproduce the results at least once. But maybe more to check for my own mistakes instead of checking for reproducibility.",1,self-check also
39,R_DTpHdZXHWwWdJ2p,Physical,Mixed Methods,questions about the validity of the first outcome.,1,
40,R_1mkpHHDTPvOKbeU,Methods,Quantitative,To double check that the results were consistent,1,
44,R_RnoAmAEeFVUsw5b,Human,Mixed Methods,"It is a crucial and often overlooked part of the (social and natural) scientific process. It's also generally under-appreciated, particularly by journal editors. I have tenure now, so I can indulge in these important but under-valued aspects of science.",1,???
46,R_vq3VYpnMKXgksHD,Physical,Quantitative,Uncertainties in the results.,1,
48,R_3P7xxkvazoD4lGM,Human,Mixed Methods,"To ensure both that theories and approaches ""on the books"" were accurate and to establish a baseline for further research either validating or challenging these theories/approaches",1,
52,R_3qTY9LpuAFOLKij,Methods,Quantitative,"Well, I did a few reproductions as a Reproducibility Committee member of a conference. I thought in reproducing some papers of my interest but never tried (I hope I will do!).",1,
53,R_10rzTBB9mklhnar,Methods,Mixed Methods,Doubt in the results/interpretations,1,
54,R_3me5aCWhLQD0aKX,Methods,Quantitative,Verification of a new model on the same data involved reproduction of the original analysis.,1,
58,R_1exeB5RduG5H4A2,Physical,Quantitative,"suspicion that the study had come to wrong conclusion, i.e. was not reproduceable",1,
62,R_3g6pPPDUIAGbpyO,Methods,Mixed Methods,Help other researchers test my proposed methods.,1,
72,R_2dhEGetlwXFYOTZ,Physical,Quantitative,The quality and originality of the study.,1,
