"","Q3_recoded","Q4","Q5","Q6"
"19","Physical geography, earth and environmental sciences","Quantitative","To a great extent","My field is luminescence dating. Reproducibility means that I get the same age for more than one sample from the same layer, or that another lab gets the same age from the same sample that I processed."
"20","Physical geography, earth and environmental sciences","Quantitative","To a great extent",NA
"21","Other","Quantitative","To a great extent","research is replicable by others"
"22","Physical geography, earth and environmental sciences","Quantitative","To a great extent","It is the ability of third parties to obtain the same results presented in a study using the same database."
"23","Geographic methods, GIS, spatial statistics","Quantitative","To a great extent","That all aspects of the research can be replicated. Data and sufficient metadata are associated with a study along with code, and or model parameters are documented"
"24","Geographic methods, GIS, spatial statistics","Quantitative","To a great extent","Allowing others to conduct the same study to duplicate to repudiate the results"
"25","Human geography","Quantitative","To a great extent","Providing necessary information so that other researchers may replicate the study."
"26","Geographic methods, GIS, spatial statistics","Quantitative","To a great extent","Using the same data and the same algorithm, it should be possible to reproduce any stated results exactly (i.e. to the rounding function of one's computer)."
"27","Nature and society","Quantitative","To a great extent","Research methodology should be described and done in such a way as to allow any researcher to reproduce the same type of study based on the methodology described."
"28","Physical geography, earth and environmental sciences","Quantitative","To a great extent","Would similar results be obtained from a study of the process under similar conditions.  Would another research be able to obtain these similar results."
"29","Geographic methods, GIS, spatial statistics","Quantitative","To a great extent","Provide the enough details to ensure the potential replication of the work carried by the authors"
"30","Geographic methods, GIS, spatial statistics","Quantitative","To a great extent","The ability to get the same results using the same data and methods as in the original study/paper"
"31","Geographic methods, GIS, spatial statistics","Quantitative","To a great extent","To publish data and software which led to the research results related to a published study/article. If the results are also data (GIS models/maps, simulation/modelling results) they should also be published"
"32","Geographic methods, GIS, spatial statistics","Quantitative","To a great extent","The degree of openness and technical documentation allowing any other research with an appropriate skillset to use our methods, data, and computing environment to recreate the presented results."
"33","Geographic methods, GIS, spatial statistics","Quantitative","To a great extent","The ability to re-generate exactly the results published based on the data and code provided by the authors."
"34","Physical geography, earth and environmental sciences","Quantitative","To a great extent","samples, data, and methods are curated and described such that another researcher is able to reproduce the results of a study"
"35","Nature and society","Quantitative","To a great extent","Sharing data and code to allow others to reproduce research findings"
"36","Geographic methods, GIS, spatial statistics","Quantitative","To a great extent","Providing sufficient narrative description, computer code, and data for another expert to fully recreate a published analysis."
"37","Physical geography, earth and environmental sciences","Quantitative","To a great extent","In short, I understand reproducibility to be the ability of other researchers to use the same methods on the same data to produce the same results."
"38","Geographic methods, GIS, spatial statistics","Quantitative","To a great extent","Another researcher could take my data, use my analytical approach and produce the same result."
"39","Physical geography, earth and environmental sciences","Quantitative","To a great extent","Data that can be obtained again and it produces the same results."
"40","Physical geography, earth and environmental sciences","Quantitative","To a great extent","Data that other researchers could collect, or an interpretation of a data set that other researchers may also find."
"41","Human geography","Quantitative","To a great extent","The other researchers should be able to reproduce the results ...and that methodology should be described to support this option. 
Another aspect is whether my results reproduce the results of others. I see this as an important part of commentary and discussion of findings."
"42","Nature and society","Quantitative","To a great extent","A reproducible analysis is one where a researcher from outside the research group that performed the analysis can collect the same data and follow the same methods and get the same (or at least not significantly different) results. Basically, ""can I read a journal article and get the same results as the authors without a whole lot of additional investigation?"""
"43","Physical geography, earth and environmental sciences","Quantitative","To a great extent","For someone to be able to recreate my work based on the information I provide in the methods."
"44","NA","Quantitative","To a great extent",NA
"45","Physical geography, earth and environmental sciences","Quantitative","To a great extent","That research methods are described in such detail that others could reproduce/replicate them, and achieve the same results (e.g., with a statistical analysis, laboratory method, field methods etc.). 

In my field we also use the term ""analytical reproducibility"", which describes how ""reproducible"" /repeatable an instrument measures/analyses a sample/data. This statistic is determined by analysing the same sample several times."
"46","Physical geography, earth and environmental sciences","Quantitative","To a great extent","Provide all knowledge, methods, tools and datasets to reproduce the results of your published research and encourage, and make easy,  further applications in different contexts."
"47","Geographic methods, GIS, spatial statistics","Quantitative","To a great extent","new and fresh applications in more fields and innovant changes in these fields, like ITS, land administration, planning, daily life."
"48","Geographic methods, GIS, spatial statistics","Quantitative","To a great extent","Both the methodological framework and specific algorithm used can be implemented by using existing tools or code, and can be re-run with the expeimental dataset to reach (almost) same results."
"49","Physical geography, earth and environmental sciences","Quantitative","To a great extent","testing whether results, using the same methods, materials, and overall approach, can produce a reliably similar result that provides confidence in the scientific method that allows for objective interpretation and conclusions to be made."
"50","Geographic methods, GIS, spatial statistics","Quantitative","To a great extent","the proposed method can be reproduced by others with similar results"
"51","Geographic methods, GIS, spatial statistics","Quantitative","To a great extent","possibility of replicating the studies. This requires that the method is well described, availability of the same data and the same tools (scripts)."
"52","Geographic methods, GIS, spatial statistics","Quantitative","To a great extent","The posisbility to repeat the same experiment exactly with the same results on the same data, the use of a methodology tested on a given area on another area with similar performance"
"53","Geographic methods, GIS, spatial statistics","Quantitative","To a great extent","Can others use methods we have used and replicate our results"
"54","Geographic methods, GIS, spatial statistics","Quantitative","To a great extent","In a broad sense, reproducibility in my research would mean that the same analysis steps performed on the same dataset always yield the same result. I distinguish it from research that is replicable, robust, or generalizable. Reproducibility requires a series of actions on the part of the researcher, such as when authors provide all the code and data necessary to recreate the analysis, as per Claerbout and Karrenback (1992), or when measurements can be independently obtained with stated precision levels by a different and independent research team, as per Ivie and Thain (2018) in ACM Comput Survey. Similar to Stodden's (2020) approach, I also consider computational reproducibility (code, hardware details, readme are made available), empirical reproducibility (open data, data access issues, appropriate interoperability, metadata, standards, ontological frameworks), and analytics reproducibility (details on model parameters, hyperparameters are made known). In my work, reproducibility crosses over into replicability - and it may be necessary to have replicability as the scientific threshold - where the same analytics performed on different datasets yields similar results. This is due to the fact that many of the datasets I work with are sensitive, containing potentially personally identifiable data, that requires special permission to use, or are not shareable because they are privately held, or are synthetically generated by private organizations. This is similar to code not being shareable if the provenance of legacy code is unavailable. Reproducible research is the gold standard and a desirable characteristic, but it may not always be possible, despite the researcher's desires and intentions."
"55","Physical geography, earth and environmental sciences","Quantitative","To a great extent","For the findings of a study to be reproducible means that results obtained by an experiment or an observational study or in a statistical analysis of a data set should be achieved again with a high degree of reliability when the study is replicated."
"56","Physical geography, earth and environmental sciences","Quantitative","To a great extent","That different researchers, presented with the same evidence, will come to broadly equivalent conclusions"
"57","Physical geography, earth and environmental sciences","Quantitative","To a great extent","All methods (including data collection, analysis and visualization) must be detailed so that a reader would be able to reproduce the same results by following the methods on the same dataset."
"58","Physical geography, earth and environmental sciences","Quantitative","To a great extent","If another researcher (independent) performs the same experiments as I do, the outcomes should lie within a given uncertainty limit. The experiments should be repeatable and the results not a unique occurrence."
"59","Physical geography, earth and environmental sciences","Quantitative","To a great extent","the description of the analysis should be given in a manner that an expert reader (as research is mostly communicated in written form) should be able to come to the same conclusions using sound scientific analyses and the same data. Access to data is critical as analysis tools generally accessible to anyone with sufficient expertise."
"60","Geographic methods, GIS, spatial statistics","Quantitative","To a great extent","Reproducible research usually publishes the data used to justify research claims. If the data cannot be published (as in my case), the description of the methods should allow researchers to replicate the results if they had the same data. These are the practical dimensions of reproducibility. Conceptually, reproducibility is about minimizing or eliminating the bias of subjective decisions, or contextualizing your findings with respect to the methodological choices you make as a researcher."
"61","Physical geography, earth and environmental sciences","Quantitative","To a great extent","The methods should provide sufficient information to be able to reproduce the results. In quantitative science this should, at minimum, provide all the equations and algorithms used for any calculation. In the interest of increasing transparency in science, the practice of sharing the code should be encouraged."
"62","Geographic methods, GIS, spatial statistics","Quantitative","To a great extent","Being clear on the data used, the variables constructed, and the techniques used so that someone can use the same dataset or use the same technique."
"63","Geographic methods, GIS, spatial statistics","Quantitative","To a great extent","Being able to obtain similar results using the same methods and data as the authors"
"64","Human geography","Qualitative","To a great extent","None. Because I do critical geopolitics."
"65","Human geography","Qualitative","To a great extent","That the findings of a study, and methods used to generate them, should be articulated such that any other researcher given the same data would arrive at the same conclusion or interpretation."
"66","Nature and society","Qualitative","To a great extent","Conduction get  research in a manner that allows a different team to produce similar results by  following the same method"
"67","Human geography","Qualitative","To a great extent","Producing scholarship where the researcher(s) is fully transparent in and open to providing their methodology, literature and theory, data collection procedures, survey questions or ethnographic process if applicable, data sources/archives/sampling procedures, ""collected"" data, modes of analysis, positionality, coding methods, conflicts of interest, ethical standards, etc.; such that another researcher might be able to arrive at similar conclusions."
"68","Human geography","Qualitative","To a great extent","In short, the idea of reproducibility implies that, regardless of the researcher, when research is conducted using the same data, methods, and ideas/research questions, subsequent researchers will arrive at the same results.
As a geographer who largely employs qualitative methods, this notion reflects the grotesque extent to which qualitative researchers are expected to scientize (mimic the scientific vernacular, questions, and processes) in their work in order to acquire funding.
Working abroad with populations who do not share the same native language, where there are certainly different views and practices concerning gender, race/ethnicity, education, class, and varying stereotypes of who researchers are, what and why they're researching a particular topic, etc., this kind of notion of ""reproducibility"" is really a ridiculous idea that only the most quantitatively stuck (and socially stunted) human geographers would say is possible. It is not the same thing for physical geographers as it is for human geographers, in the same way that notions of what is generalizable do not align neatly and can even conflict."
"69","Nature and society","Qualitative","To a great extent","A reasonable researcher, with reasonable training in geographic methods, could follow similar steps as those outlined in the methods, accessing similar data sources, and subsequently arrive at similar findings and conclusions."
"70","Human geography","Qualitative","To a great extent","The extent to which the research design can be replicated in different geographical contexts"
"71","Human geography","Qualitative","To a great extent","transparancy about connectio between data. methods and results"
"72","Human geography","Qualitative","To a great extent","Working from a qualitative paradigm, research standards should be rigorous and transparent but qualitative research isn't necessarily reproducible - especially for ethnography, which is my preferred methodological approach. But outside of qualitative work I understand ""reproducibility"" to mean that statistical/data/empicial evidence should be able to be examined and analysis conducted by other researchers should be able to replicate the steps that the original researcher took to achieve their results."
"73","Human geography","Qualitative","To a great extent",NA
"74","Human geography","Qualitative","To a great extent","The ability of different researchers to generate the same/similar data, even if they arrive at different conclusions from those data."
"75","Human geography","Qualitative","To a great extent","That the methods can be used to conduct a similar study in a different setting that would provide ""similar"" findings (with site-specific differences. Positionality of the researcher also plays into this)"
"76","Geographic methods, GIS, spatial statistics","Mixed Methods","To a great extent","For my computational work, I provide the code and explanation of the methods and data such that others could conduct the same sorts of experiments and analysis that I have. In my more qualitative work, I make clear the methodological principles followed (semi-structured interview, coding, etc.) such that while the work may not be 'reproducible' in the same way, one could conduct a similar study.

Honestly, beyond testing my own results for rigor and ensuring that others can understand (and if they want adapt/revisit) my own analysis, I do not worry about this."
"77","Human geography","Mixed Methods","To a great extent","The use of Methods that allow other researchers (or the same researchers in different points in time) to administer the same tool, with comparable or equal samples, with the chance of comparing or complementing results"
"78","Nature and society","Mixed Methods","To a great extent","My interpretation of reproducibility is that results are communicated in a transparent way to ensure the study can be replicated in the future."
"79","Physical geography, earth and environmental sciences","Mixed Methods","To a great extent","A description of the scientific observations in order to enable the replication and progress of results attained by the study."
"80","Physical geography, earth and environmental sciences","Mixed Methods","To a great extent","Here is my personal definition of 'reproducibility': a method to evaluate study findings by repeating the experiment using the same parameters (potentially numerous times) and comparing the resulting data sets. Having dissimilar (nonreproduced) values may call the validity of the study’s methods into question, but it does not necessarily automatically invalidate the initial findings.
Reproducibility, in my opinion, seems to be a growing issue in certain quantitative studies, e.g. lab or survey work. 
My work is creating surficial geologic maps. In this context, the issue of reproducibility is unlikely to be realistically address due to some qualitative methods. The product is a representation of sedimentological and lithological interpretations which based on numerous observations which are combined with past knowledge to create interpretations. The scale, effort, and opportunistic nature (e.g. seeing a newly dug construction site) of data collection does not allow for the work to be easily reproduced. Areas are rarely re-mapped at the same scale. Some areas are not remapped in the same century. In other words, once created these maps are authoritative for generations. Which is not necessarily a good thing. 
"
"81","Physical geography, earth and environmental sciences","Mixed Methods","To a great extent","can others get the same result we did"
"82","Physical geography, earth and environmental sciences","Mixed Methods","To a great extent","Providing detailed methodologies and possibly data and codes that can be used to reproduce results. Also to enable other researchers use methods confidently in their studies."
"83","Human geography","Mixed Methods","To a great extent","The ability to recreate the same experiment or research given similar contexts and resources."
"84","Geographic methods, GIS, spatial statistics","Mixed Methods","To a great extent",NA
"85","Geographic methods, GIS, spatial statistics","Mixed Methods","To a great extent","Interpolation"
"86","Geographic methods, GIS, spatial statistics","Mixed Methods","To a great extent","Reproducibility means being able to create the same outputs using the same data and methods by another researcher. This definition changes slightly depending what science you focus on as it can be altered for more GIS/Data Science researchers as this term is used slightly differently in computer science."
"87","Nature and society","Mixed Methods","To a great extent","Following methods a workflows that are reproducible by other scholars with the aim of demonstrating validity of research conclusions."
"88","Physical geography, earth and environmental sciences","Mixed Methods","To a great extent",NA
"89","Human geography","Mixed Methods","To a great extent","Being able to reproduce the research in different sectors, geographic units..."
"90","Physical geography, earth and environmental sciences","Mixed Methods","To a great extent","that other researchers can not only reproduce our study (and results), but also transfer methods to other study areas, update it with new (spatial) data, or evaluate the accuracy/uncertainty of our results."
"91","Physical geography, earth and environmental sciences","Mixed Methods","To a great extent","Applying measurement techniques which can guarantee that temperature or displacements are measured with a high degree of reliability over a long period of time in a challenging environment."
"92","Human geography","Mixed Methods","To a great extent","The ability for a researcher to use my data and come up with similar results or visit field sites, collect data, and come to similar conclusions."
"93","Physical geography, earth and environmental sciences","Mixed Methods","To a great extent","Could similar authors using similar methods come to the same conclusion?"
"94","Human geography","Mixed Methods","To a great extent","Research practices (including study design, execution, and reporting) that generate findings which may be reproduced by an independent research team following the same protocol. This requires exhaustive reporting of methods and careful attention to data validity."
"95","Human geography","Mixed Methods","To a great extent","Reproducibility suggests the ability of other researchers to replicate in form and function, at least in principle, the research that another scholar has produced. This requires careful detailing by the original researcher of sources, methods, and means of data collection as well as systems of analysis."
"96","Geographic methods, GIS, spatial statistics","Mixed Methods","To a great extent","The research would be re-doable by other researchers, with the same or similar data, and the results would be comparable."
"97","Geographic methods, GIS, spatial statistics","Mixed Methods","To a great extent","Describing the methods used and provide access to input data and possible software so that the work can be replicated to the best possible extent (when possible coming to the same results). Where applicable, any third person should be able to reproduce relevant diagrams, tables, maps etc. from the provided materials."
"98","Nature and society","Mixed Methods","To a great extent","Another scholar with access to the same data would produce results that are not different from mine in a statistically significant way."
"99","Nature and society","Mixed Methods","To a great extent","Based on principles developed by Argyris and Schon and more recently and fully within different branches of Action Research, our research blends both traditional surveys, reflective workshops and other participatory methods, with the development of programs, such as ""Kool Routes to School"", which we then test and co-create with partners in schools, neighbourhoods, cities and regions. By reproducibility we do not claim universality, that is, that repeating the same experiment will produce the same results everywhere, but rather that some methods and /or results can be of interest to and useful for researchers and practitioners exploring similar issues in similar or even very different contexts."
"100","Physical geography, earth and environmental sciences","Mixed Methods","To a great extent","Experimental reproducibility = can the experiment be reproduced in general with reported settings.
Instrumental reproducibility = will the instrument give the same results on the same sample or a replicate sample set with analytical replicates.
Biological/chemical reproducibility = will sample replication produce the same results?
Reproducibility/replication = speaks to standard, analytical, or biological error"
"101","Geographic methods, GIS, spatial statistics","Mixed Methods","To a great extent","The ability of performing the developed/proposed method and achieving the same results as the ones presented in a paper - report. This can be achieved by offering your code as open source or with a detailed description of the methodology, techniques and settings selected during the experiments."
"102","Human geography","Mixed Methods","To a great extent","Others should be able to reproduce/ duplicate a study given they have access to the same data."
"103","Geographic methods, GIS, spatial statistics","Mixed Methods","To a great extent",NA
"104","Physical geography, earth and environmental sciences","Mixed Methods","To a great extent","Reproducibility” refers to instances in which the original researcher's data and computer codes are used to regenerate the results, while “replicability” refers to instances in which a researcher collects new data to arrive at the same scientific findings as a previous study. In our research we used to this term to understand ""people traditional knowledge in terms of agriculture and soil conservation and other related fields"""
"105","Physical geography, earth and environmental sciences","Mixed Methods","To a great extent","The chance to replicate the analysis to the data (by different people) obtaining the same results."
"106","Human geography","Mixed Methods","To a great extent","I associate the term reproducibility mostly with quantitative methods and quantitative data. Although even in those contacts there can be quite a degree of variation in what is possible with respect to reproducibility. In my experience there is an increasing effort on the part of journals another publication venues to make the data underlying research reported and publications available with those publications. This is much easier to do with quantitative data (especially when it is anonymous). Essentially reproducibility boils down to the ability of researchers who may wish to check the results claim to buy other researchers."
"107","Nature and society","Mixed Methods","To a great extent","it means having methods that can be utilized by other researchers to come to similar findings"
"108","Physical geography, earth and environmental sciences","Mixed Methods","To a great extent","reproducibility to me is the development of knowledge, practices, and analysis protocols in the field and laboratory that can be applied to other places and areas of knowledge that have affinity with physical geography, especially soil science and paleoecology."
"109","Human geography","Mixed Methods","To a great extent",NA
"110","Physical geography, earth and environmental sciences","Mixed Methods","To a great extent","The data should be real and reproducible. The results should be robust, stable and reproducible by other researchers."
"111","Physical geography, earth and environmental sciences","Mixed Methods","To a great extent","My understanding of the term is, that I have to work as scientifically correct and precise as possible, so that consequently others can proof or discard my findings."
"112","Geographic methods, GIS, spatial statistics","Mixed Methods","To a great extent","Reproducibility has several aspects : 
-describe and make available methods and feedbacks in order to give all possible information to researchers or practitioners who would want to re use methods and protocols in other settings/context (not as easy as it sounds to provide useful and synthetic information, i try to have researchers that obersve experimentation with users to make proper feedsbacks)
-describe/make available methods and tools for appropriation re-use
-publication of analysis and feedbacks and dissemination in research conference and professional events
It is difficult to do all and not always possible (time consuming, intellectual property on data, not paid for in projects for stable and durable online availability, etc.)"
"113","Nature and society","Mixed Methods","To a great extent","As a field scientist it is often not possible to reproduce our research entirely, but the methods and models and statistics employed should theoretically be understandable and reproducible in a similar context by other researchers with nearly the same results."
"114","Geographic methods, GIS, spatial statistics","Mixed Methods","To a great extent","I study transportation infrastructure in cities (streets, sidewalks, bus stops, bike lanes, etc.). For any study I complete, I want the methods to be incredibly clear and datasets to be accessible, such that any interested researcher could re-do the entire study. That is how I think about the work being 'reproducible.'"
"115","Human geography","Mixed Methods","To a great extent","Creating/using research methods that are transferrable to other contexts, as well as sharing data/code from my own research that allows others to repeat or extend that work."
"116","Physical geography, earth and environmental sciences","Mixed Methods","To a great extent","I understand this term in direct association with the principles of the scientific method"
"117","Human geography","Mixed Methods","To a great extent","Allowing peers to fully comprehend and reproduce your study/research by providing maximum (ethically possible) transparency on data sources, methods and analytical steps."
"118","Geographic methods, GIS, spatial statistics","Quantitative","Somewhat","That someone else can get the same results as you. Also, you didn’t p-hack."
"119","Nature and society","Quantitative","Somewhat","Do we share enough information about our methods such that someone else, given access to similar data, could repeat the analysis"
"120","Geographic methods, GIS, spatial statistics","Quantitative","Somewhat",NA
"121","Geographic methods, GIS, spatial statistics","Quantitative","Somewhat","The research can be repeated with the same condition."
"122","Physical geography, earth and environmental sciences","Quantitative","Somewhat",NA
"123","Geographic methods, GIS, spatial statistics","Quantitative","Somewhat","Giving enough details about the empirical analysis undertaken in order to make it possible, for other reserachers, to reproduce the study"
"124","Geographic methods, GIS, spatial statistics","Quantitative","Somewhat","That your research can be replicated by other researchers following your methodology and produce comparable results."
"125","Human geography","Quantitative","Somewhat","Applying the same methodology in different case studies"
"126","Physical geography, earth and environmental sciences","Quantitative","Somewhat","Creating datasets and describing methodologies that can be reused by others."
"127","Physical geography, earth and environmental sciences","Quantitative","Somewhat",NA
"128","Geographic methods, GIS, spatial statistics","Quantitative","Somewhat","Another researcher, with the same data and methods, should get the same results."
"129","Nature and society","Quantitative","Somewhat","ability to reproduce the results/findings of a project"
"130","Geographic methods, GIS, spatial statistics","Quantitative","Somewhat",NA
"131","Human geography","Quantitative","Somewhat","It is possible to reproduce the results with the same data"
"132","Geographic methods, GIS, spatial statistics","Quantitative","Somewhat","To reproduce the outcomes that other independent researchers has generated and probably published"
"133","Physical geography, earth and environmental sciences","Quantitative","Somewhat","Reproducibility for my research would involve making measured values public, as well as any datasets, so that others might look at the same data and come to a different conclusion. Re-sampling the sites I worked on would be next to impossible, however, due to permits in a foreign country."
"134","Physical geography, earth and environmental sciences","Quantitative","Somewhat","That research can be done again to gain similar results"
"135","Human geography","Quantitative","Somewhat","The results obtained by statistical analysis of data should be achieved again when the study is replicated"
"136","Physical geography, earth and environmental sciences","Quantitative","Somewhat","Much more limited than even fields with known reproducibility problems, like psychology. I may release some R code and a cleaned data set."
"137","Geographic methods, GIS, spatial statistics","Quantitative","Somewhat","My understanding about the term ""reproducibility"" in the context of my own research would imply that certain obtained results would be also obtained, perhaps to a certain degree of similarity, by others researchers using the same methods."
"138","Human geography","Quantitative","Somewhat","If you are researching a particular concept/topic and situate it in the current disciplinary understanding, reproducibility means that you're able to apply a known method or establish an accepted understanding in your hypotheses and through your new research effort, confirm or validate that approach or understanding."
"139","Geographic methods, GIS, spatial statistics","Quantitative","Somewhat","The ability for someone else to reproduce the results given the input data."
"140","Physical geography, earth and environmental sciences","Quantitative","Somewhat","The method/result of my research is to be applied in different locations with similar conditions."
"141","Physical geography, earth and environmental sciences","Quantitative","Somewhat","If someone were to travel to my study sites, employ a similar sampling strategy and invest a comparable effort in the lab I believe they would come to the same results and conclusions that my colleagues and I did."
"142","Geographic methods, GIS, spatial statistics","Quantitative","Somewhat","My research is clearly and correctly described, so that the other people can get the same result if he or she do the same thing as I describe."
"143","Human geography","Qualitative","Somewhat","others could conduct same or similar study"
"144","Nature and society","Qualitative","Somewhat","That the research process could be carried out (near) identically by another research team, based on reproducible study design, methods, analysis, etc."
"145","Human geography","Qualitative","Somewhat","Can results be reproduced?  As a qualitative methodologist, it is not as important as to others."
"146","Human geography","Qualitative","Somewhat","I would understand it to mean that research findings can be reproduced in additional studies (ie. someone could follow my research design and presumably come up with the same results). It strikes me as a term that makes more sense for researchers using quantitative methods, however. As someone who largely deploys ethnographic and qualitative methods it is hard for me to imagine any of my work ever being reproducible (and would ignore the fact that my research findings are less about my study design and more about my interpretation/analysis)."
"147","Human geography","Qualitative","Somewhat","I don't use the term in my own research. To me it simply means that a certain result or set of results in a study can be reproduced in another study."
"148","Nature and society","Qualitative","Somewhat","That other researchers could replicate the ethod with broadly the same findings. No guarantee of that in participatory qualitative research, which is context specific."
"149","Human geography","Qualitative","Somewhat","replicability"
"150","Human geography","Qualitative","Somewhat","the ability to repeat a certain study, using similar methods, with the expectation to get similar (or close enough) results as the original study."
"151","Human geography","Qualitative","Somewhat","As a qualitative researcher doing in-depth case study research, my studies can not be perfectly reproduced. But reproducibility sits in the openness about methods and data collection practices, as well as critical reflection about strengths and weaknesses of my research. When we write about those things in the methods section in our papers and theses, their reproducibility is increased."
"152","Nature and society","Qualitative","Somewhat","The ability for results/observations to be replicated/ reproduced using/following the same methods and techniques. In the context of my field of research the concept is used to test the reliability of data obtained through experimental and observational research."
"153","Nature and society","Qualitative","Somewhat",NA
"154","Human geography","Qualitative","Somewhat","In the hard sciences it is ability to trace a research process in order to reconstruct how a specific outcome was achieved.
In the social sciences this does not make too much sense and I would interpret reproducibility as and ability to use an established research approach or methodology in order to achieve significant (not identical) results in a different research context"
"155","Nature and society","Qualitative","Somewhat","The objective of testing the results by using the same  methods"
"156","Human geography","Qualitative","Somewhat","to me this term would mean that the methods that have been used to conduct the research can be 'reproduced' by another researcher.  not quite the scientific hypothesis appraoch but not dissimilar"
"157","Human geography","Qualitative","Somewhat","As a historical geographer, working with qualitative research methods, I understand reproducibility more in terms of sources than of methods. I see reproducible research as being that which makes clear the origin and location of its data."
"158","Human geography","Qualitative","Somewhat","reproduction possibilities"
"159","Human geography","Qualitative","Somewhat","Using the same data, another researcher could reproduce the same or similar results as I have"
"160","Geographic methods, GIS, spatial statistics","Mixed Methods","Somewhat","To be able to reproduce the results using the same method and techical steps"
"161","Physical geography, earth and environmental sciences","Mixed Methods","Somewhat","That other people can arrive at similar (if not identical) results if they apply the same assumptions, methods and techniques."
"162","Human geography","Mixed Methods","Somewhat","The ability for others to conduct the same research using my methodology."
"163","Physical geography, earth and environmental sciences","Mixed Methods","Somewhat","Reproducibility in my case is the possibility of the replicating and repeating of the proposed approach"
"164","Physical geography, earth and environmental sciences","Mixed Methods","Somewhat","Being able to read and interpret the methods outlines in my research and produce the same results.  If the methods aren't clearly explained in a way that a working scientist can't reexamine them, I would say that work has a reproductibility problem"
"165","Physical geography, earth and environmental sciences","Mixed Methods","Somewhat","For the term ""reproducibility"", I am more concerned with the broader applicability of the research method or results."
"166","Physical geography, earth and environmental sciences","Mixed Methods","Somewhat","The experimental results which will be reproduced by others under the same procedure"
"167","Physical geography, earth and environmental sciences","Mixed Methods","Somewhat","I am a paleoclimatologist working on sediment chronology and geochemistry. Thus, data reproducibility is the first priority in our research. Further, the paleoclimate reconstruction, we make as per the geochemical variability should corroborate and thus reproduced with the globally accepted understanding of the climatic episodes."
"168","Nature and society","Mixed Methods","Somewhat","Whether someone else following the same methodology would reproduce the same results"
"169","Physical geography, earth and environmental sciences","Mixed Methods","Somewhat","Other people who do the same experiment can get roughly equivalent data"
"170","Physical geography, earth and environmental sciences","Mixed Methods","Somewhat",NA
"171","Geographic methods, GIS, spatial statistics","Mixed Methods","Somewhat","To be able to reproduce, extrapolate and transfer approaches/outputs"
"172","Human geography","Mixed Methods","Somewhat","a scientific ideal from applied sciences that under experimental conditions a test of a given hypothesis should be reproduciable"
"173","Physical geography, earth and environmental sciences","Mixed Methods","Somewhat","I understand reproducibility within the frame of teh Galilean Scientific Method"
"174","Human geography","Mixed Methods","Somewhat","that another person, conducting a similar experimental setup, or questionnaire, would come to the same conclusions"
"175","Physical geography, earth and environmental sciences","Mixed Methods","Somewhat","Methods, sampling strategy and decisions during processing and analysis are to be described in detail so that the study can be repeated with a high chance of obtaining similar/identical results. Any inferences and conjectures are to be made explicit."
"176","Nature and society","Mixed Methods","Somewhat","That other researchers get similar results using similar methods with a similar population"
"177","Nature and society","Mixed Methods","Somewhat","That other researchers could use the same or similar methodology without great difficulty and, given similar data, arrive at comparable results"
