"X.","Quantitative","Qualitative","Mixed.Methods","NA.","Overall"
"Differences in the software processing environment","","","","",""
"  Frequently","19 (20.7%)","4 (10.0%)","14 (16.5%)","0 (0%)","37 (17.0%)"
"  Occasionally","39 (42.4%)","6 (15.0%)","29 (34.1%)","0 (0%)","74 (33.9%)"
"  Rarely","30 (32.6%)","14 (35.0%)","28 (32.9%)","1 (100%)","73 (33.5%)"
"  Never","2 (2.2%)","9 (22.5%)","5 (5.9%)","0 (0%)","16 (7.3%)"
"  Missing","2 (2.2%)","7 (17.5%)","9 (10.6%)","0 (0%)","18 (8.3%)"
"Use of proprietary data or software","","","","",""
"  Frequently","25 (27.2%)","7 (17.5%)","21 (24.7%)","0 (0%)","53 (24.3%)"
"  Occasionally","40 (43.5%)","6 (15.0%)","27 (31.8%)","0 (0%)","73 (33.5%)"
"  Rarely","21 (22.8%)","13 (32.5%)","24 (28.2%)","1 (100%)","59 (27.1%)"
"  Never","4 (4.3%)","7 (17.5%)","3 (3.5%)","0 (0%)","14 (6.4%)"
"  Missing","2 (2.2%)","7 (17.5%)","10 (11.8%)","0 (0%)","19 (8.7%)"
"Complexity and variability of geographic systems","","","","",""
"  Frequently","39 (42.4%)","14 (35.0%)","38 (44.7%)","0 (0%)","91 (41.7%)"
"  Occasionally","34 (37.0%)","6 (15.0%)","25 (29.4%)","0 (0%)","65 (29.8%)"
"  Rarely","15 (16.3%)","8 (20.0%)","12 (14.1%)","1 (100%)","36 (16.5%)"
"  Never","2 (2.2%)","5 (12.5%)","3 (3.5%)","0 (0%)","10 (4.6%)"
"  Missing","2 (2.2%)","7 (17.5%)","7 (8.2%)","0 (0%)","16 (7.3%)"
"Random effects","","","","",""
"  Frequently","22 (23.9%)","6 (15.0%)","17 (20.0%)","0 (0%)","45 (20.6%)"
"  Occasionally","40 (43.5%)","15 (37.5%)","36 (42.4%)","0 (0%)","91 (41.7%)"
"  Rarely","22 (23.9%)","7 (17.5%)","24 (28.2%)","1 (100%)","54 (24.8%)"
"  Never","5 (5.4%)","4 (10.0%)","0 (0%)","0 (0%)","9 (4.1%)"
"  Missing","3 (3.3%)","8 (20.0%)","8 (9.4%)","0 (0%)","19 (8.7%)"
"Insufficient documentation about study data (metadata)","","","","",""
"  Frequently","41 (44.6%)","7 (17.5%)","28 (32.9%)","0 (0%)","76 (34.9%)"
"  Occasionally","32 (34.8%)","11 (27.5%)","34 (40.0%)","0 (0%)","77 (35.3%)"
"  Rarely","16 (17.4%)","11 (27.5%)","16 (18.8%)","1 (100%)","44 (20.2%)"
"  Never","1 (1.1%)","4 (10.0%)","1 (1.2%)","0 (0%)","6 (2.8%)"
"  Missing","2 (2.2%)","7 (17.5%)","6 (7.1%)","0 (0%)","15 (6.9%)"
"Researcher positionality","","","","",""
"  Frequently","12 (13.0%)","19 (47.5%)","23 (27.1%)","0 (0%)","54 (24.8%)"
"  Occasionally","40 (43.5%)","13 (32.5%)","33 (38.8%)","0 (0%)","86 (39.4%)"
"  Rarely","30 (32.6%)","3 (7.5%)","16 (18.8%)","1 (100%)","50 (22.9%)"
"  Never","5 (5.4%)","0 (0%)","4 (4.7%)","0 (0%)","9 (4.1%)"
"  Missing","5 (5.4%)","5 (12.5%)","9 (10.6%)","0 (0%)","19 (8.7%)"
