"  Missing","2 (2.2%)","7 (17.5%)","5 (5.9%)","0 (0%)","14 (6.4%)"
"Establishing credibility of research in your primary subfield","","","","",""
"  Very important","48 (52.2%)","4 (10.0%)","37 (43.5%)","1 (100%)","90 (41.3%)"
"  Somewhat important","36 (39.1%)","4 (10.0%)","30 (35.3%)","0 (0%)","70 (32.1%)"
"  Somewhat not important","4 (4.3%)","17 (42.5%)","8 (9.4%)","0 (0%)","29 (13.3%)"
"  Not important","3 (3.3%)","9 (22.5%)","5 (5.9%)","0 (0%)","17 (7.8%)"
"  Missing","1 (1.1%)","6 (15.0%)","5 (5.9%)","0 (0%)","12 (5.5%)"
"Communicating research to academics","","","","",""
"  Very important","37 (40.2%)","4 (10.0%)","31 (36.5%)","1 (100%)","73 (33.5%)"
"  Somewhat important","39 (42.4%)","7 (17.5%)","31 (36.5%)","0 (0%)","77 (35.3%)"
"  Somewhat not important","12 (13.0%)","14 (35.0%)","14 (16.5%)","0 (0%)","40 (18.3%)"
"  Not important","3 (3.3%)","9 (22.5%)","4 (4.7%)","0 (0%)","16 (7.3%)"
"  Missing","1 (1.1%)","6 (15.0%)","5 (5.9%)","0 (0%)","12 (5.5%)"
"Communicating research to practitioners","","","","",""
"  Very important","37 (40.2%)","3 (7.5%)","32 (37.6%)","1 (100%)","73 (33.5%)"
"  Somewhat important","30 (32.6%)","8 (20.0%)","30 (35.3%)","0 (0%)","68 (31.2%)"
"  Somewhat not important","22 (23.9%)","16 (40.0%)","9 (10.6%)","0 (0%)","47 (21.6%)"
"  Not important","2 (2.2%)","7 (17.5%)","9 (10.6%)","0 (0%)","18 (8.3%)"
"  Missing","1 (1.1%)","6 (15.0%)","5 (5.9%)","0 (0%)","12 (5.5%)"
"Training geography students","","","","",""
"  Very important","44 (47.8%)","3 (7.5%)","41 (48.2%)","1 (100%)","89 (40.8%)"
"  Somewhat important","41 (44.6%)","12 (30.0%)","27 (31.8%)","0 (0%)","80 (36.7%)"
"  Somewhat not important","2 (2.2%)","12 (30.0%)","8 (9.4%)","0 (0%)","22 (10.1%)"
"  Not important","4 (4.3%)","7 (17.5%)","3 (3.5%)","0 (0%)","14 (6.4%)"
"  Missing","1 (1.1%)","6 (15.0%)","6 (7.1%)","0 (0%)","13 (6.0%)"
"Meta-analyses","","","","",""
"  Very important","35 (38.0%)","4 (10.0%)","38 (44.7%)","1 (100%)","78 (35.8%)"
"  Somewhat important","43 (46.7%)","13 (32.5%)","32 (37.6%)","0 (0%)","88 (40.4%)"
"  Somewhat not important","9 (9.8%)","8 (20.0%)","8 (9.4%)","0 (0%)","25 (11.5%)"
"  Not important","2 (2.2%)","9 (22.5%)","1 (1.2%)","0 (0%)","12 (5.5%)"
"  Missing","3 (3.3%)","6 (15.0%)","6 (7.1%)","0 (0%)","15 (6.9%)"
"X.","Quantitative","Qualitative","Mixed.Methods","NA.","Overall"
"","(N=92)","(N=40)","(N=85)","(N=1)","(N=218)"
"Validating research findings","","","","",""
"  Very important","46 (50.0%)","4 (10.0%)","41 (48.2%)","1 (100%)","92 (42.2%)"
"  Somewhat important","35 (38.0%)","6 (15.0%)","31 (36.5%)","0 (0%)","72 (33.0%)"
"  Somewhat not important","5 (5.4%)","14 (35.0%)","6 (7.1%)","0 (0%)","25 (11.5%)"
"  Not important","5 (5.4%)","10 (25.0%)","2 (2.4%)","0 (0%)","17 (7.8%)"
"  Missing","1 (1.1%)","6 (15.0%)","5 (5.9%)","0 (0%)","12 (5.5%)"
"Reducing the risk of errors in the research process","","","","",""
"  Very important","46 (50.0%)","3 (7.5%)","44 (51.8%)","1 (100%)","94 (43.1%)"
"  Somewhat important","38 (41.3%)","9 (22.5%)","28 (32.9%)","0 (0%)","75 (34.4%)"
"  Somewhat not important","5 (5.4%)","12 (30.0%)","5 (5.9%)","0 (0%)","22 (10.1%)"
"  Not important","2 (2.2%)","10 (25.0%)","2 (2.4%)","0 (0%)","14 (6.4%)"
"  Missing","1 (1.1%)","6 (15.0%)","6 (7.1%)","0 (0%)","13 (6.0%)"
"Increasing trust in study results","","","","",""
"  Very important","59 (64.1%)","3 (7.5%)","48 (56.5%)","1 (100%)","111 (50.9%)"
"  Somewhat important","25 (27.2%)","12 (30.0%)","23 (27.1%)","0 (0%)","60 (27.5%)"
"  Somewhat not important","6 (6.5%)","11 (27.5%)","8 (9.4%)","0 (0%)","25 (11.5%)"
"  Not important","1 (1.1%)","8 (20.0%)","1 (1.2%)","0 (0%)","10 (4.6%)"
"  Missing","1 (1.1%)","6 (15.0%)","5 (5.9%)","0 (0%)","12 (5.5%)"
"Preventing duplication of efforts in future research projects","","","","",""
"  Very important","26 (28.3%)","3 (7.5%)","34 (40.0%)","0 (0%)","63 (28.9%)"
"  Somewhat important","42 (45.7%)","7 (17.5%)","26 (30.6%)","0 (0%)","75 (34.4%)"
"  Somewhat not important","20 (21.7%)","15 (37.5%)","10 (11.8%)","1 (100%)","46 (21.1%)"
"  Not important","3 (3.3%)","9 (22.5%)","9 (10.6%)","0 (0%)","21 (9.6%)"
"  Missing","1 (1.1%)","6 (15.0%)","6 (7.1%)","0 (0%)","13 (6.0%)"
"Establishing credibility of research in geography","","","","",""
"  Very important","39 (42.4%)","4 (10.0%)","38 (44.7%)","1 (100%)","82 (37.6%)"
"  Somewhat important","42 (45.7%)","7 (17.5%)","27 (31.8%)","0 (0%)","76 (34.9%)"
"  Somewhat not important","6 (6.5%)","13 (32.5%)","11 (12.9%)","0 (0%)","30 (13.8%)"
"  Not important","3 (3.3%)","9 (22.5%)","4 (4.7%)","0 (0%)","16 (7.3%)"
"  Missing","2 (2.2%)","7 (17.5%)","5 (5.9%)","0 (0%)","14 (6.4%)"
"Establishing credibility of research in your primary subfield","","","","",""
"  Very important","48 (52.2%)","4 (10.0%)","37 (43.5%)","1 (100%)","90 (41.3%)"
"  Somewhat important","36 (39.1%)","4 (10.0%)","30 (35.3%)","0 (0%)","70 (32.1%)"
"  Somewhat not important","4 (4.3%)","17 (42.5%)","8 (9.4%)","0 (0%)","29 (13.3%)"
"  Not important","3 (3.3%)","9 (22.5%)","5 (5.9%)","0 (0%)","17 (7.8%)"
"  Missing","1 (1.1%)","6 (15.0%)","5 (5.9%)","0 (0%)","12 (5.5%)"
"Communicating research to academics","","","","",""
"  Very important","37 (40.2%)","4 (10.0%)","31 (36.5%)","1 (100%)","73 (33.5%)"
"  Somewhat important","39 (42.4%)","7 (17.5%)","31 (36.5%)","0 (0%)","77 (35.3%)"
"  Somewhat not important","12 (13.0%)","14 (35.0%)","14 (16.5%)","0 (0%)","40 (18.3%)"
"  Not important","3 (3.3%)","9 (22.5%)","4 (4.7%)","0 (0%)","16 (7.3%)"
"  Missing","1 (1.1%)","6 (15.0%)","5 (5.9%)","0 (0%)","12 (5.5%)"
"Communicating research to practitioners","","","","",""
"  Very important","37 (40.2%)","3 (7.5%)","32 (37.6%)","1 (100%)","73 (33.5%)"
"  Somewhat important","30 (32.6%)","8 (20.0%)","30 (35.3%)","0 (0%)","68 (31.2%)"
"  Somewhat not important","22 (23.9%)","16 (40.0%)","9 (10.6%)","0 (0%)","47 (21.6%)"
"  Not important","2 (2.2%)","7 (17.5%)","9 (10.6%)","0 (0%)","18 (8.3%)"
"  Missing","1 (1.1%)","6 (15.0%)","5 (5.9%)","0 (0%)","12 (5.5%)"
"Training geography students","","","","",""
"  Very important","44 (47.8%)","3 (7.5%)","41 (48.2%)","1 (100%)","89 (40.8%)"
"  Somewhat important","41 (44.6%)","12 (30.0%)","27 (31.8%)","0 (0%)","80 (36.7%)"
"  Somewhat not important","2 (2.2%)","12 (30.0%)","8 (9.4%)","0 (0%)","22 (10.1%)"
"  Not important","4 (4.3%)","7 (17.5%)","3 (3.5%)","0 (0%)","14 (6.4%)"
"  Missing","1 (1.1%)","6 (15.0%)","6 (7.1%)","0 (0%)","13 (6.0%)"
"Meta-analyses","","","","",""
"  Very important","35 (38.0%)","4 (10.0%)","38 (44.7%)","1 (100%)","78 (35.8%)"
"  Somewhat important","43 (46.7%)","13 (32.5%)","32 (37.6%)","0 (0%)","88 (40.4%)"
"  Somewhat not important","9 (9.8%)","8 (20.0%)","8 (9.4%)","0 (0%)","25 (11.5%)"
"  Not important","2 (2.2%)","9 (22.5%)","1 (1.2%)","0 (0%)","12 (5.5%)"
"  Missing","3 (3.3%)","6 (15.0%)","6 (7.1%)","0 (0%)","15 (6.9%)"
