Raw description,Frequency,Percentage,Replication_flag,Same_data,Same_procedure,Same_result,Other
"Describing the methods used and provide access to input data and possible software so that the work can be replicated to the best possible extent (when possible coming to the same results). Where applicable, any third person should be able to reproduce relevant diagrams, tables, maps etc. from the provided materials.  ",1,0.46728972,1,1,1,1,
Designing methods in such a way that another researcher of equal skill could replicate results and achieve similar results. ,1,0.46728972,1,,1,1,
"Do we share enough information about our methods such that someone else, given access to similar data, could repeat the analysis",1,0.46728972,,1,1,,
Ensuring that research is replicable.,1,0.46728972,1,,,,
"Experimental reproducibility = can the experiment be reproduced in general with reported settings.
Instrumental reproducibility = will the instrument give the same results on the same sample or a replicate sample set with analytical replicates.
Biological/chemical reproducibility = will sample replication produce the same results?
Reproducibility/replication = speaks to standard, analytical, or biological error",1,0.46728972,,,1,1,1
Following methods a workflows that are reproducible by other scholars with the aim of demonstrating validity of research conclusions.,1,0.46728972,,,1,1,1
"For me, reproducibility means that I describe the methods and data used for gaining my results in such a way that someone else can analyse the data following this description and will yield the same results.",1,0.46728972,,1,1,1,
"For my computational work, I provide the code and explanation of the methods and data such that others could conduct the same sorts of experiments and analysis that I have. In my more qualitative work, I make clear the methodological principles followed (semi-structured interview, coding, etc.) such that while the work may not be 'reproducible' in the same way, one could conduct a similar study.

Honestly, beyond testing my own results for rigor and ensuring that others can understand (and if they want adapt/revisit) my own analysis, I do not worry about this.",1,0.46728972,,1,1,,
For someone to be able to recreate my work based on the information I provide in the methods.,1,0.46728972,,,1,,
For the findings of a study to be reproducible means that results obtained by an experiment or an observational study or in a statistical analysis of a data set should be achieved again with a high degree of reliability when the study is replicated.,1,0.46728972,1,,1,1,
"For the term ""reproducibility"", I am more concerned with the broader applicability of the research method or results.",1,0.46728972,,,,,1
"Giving enough details about the empirical analysis undertaken in order to make it possible, for other reserachers, to reproduce the study ",1,0.46728972,,,1,,
"Here is my personal definition of 'reproducibility': a method to evaluate study findings by repeating the experiment using the same parameters (potentially numerous times) and comparing the resulting data sets. Having dissimilar (nonreproduced) values may call the validity of the study’s methods into question, but it does not necessarily automatically invalidate the initial findings.
Reproducibility, in my opinion, seems to be a growing issue in certain quantitative studies, e.g. lab or survey work. 
My work is creating surficial geologic maps. In this context, the issue of reproducibility is unlikely to be realistically address due to some qualitative methods. The product is a representation of sedimentological and lithological interpretations which based on numerous observations which are combined with past knowledge to create interpretations. The scale, effort, and opportunistic nature (e.g. seeing a newly dug construction site) of data collection does not allow for the work to be easily reproduced. Areas are rarely re-mapped at the same scale. Some areas are not remapped in the same century. In other words, once created these maps are authoritative for generations. Which is not necessarily a good thing. 
",1,0.46728972,,1,1,1,1
"I am a paleoclimatologist working on sediment chronology and geochemistry. Thus, data reproducibility is the first priority in our research. Further, the paleoclimate reconstruction, we make as per the geochemical variability should corroborate and thus reproduced with the globally accepted understanding of the climatic episodes. ",1,0.46728972,,,,,1
I associate the term reproducibility mostly with quantitative methods and quantitative data. Although even in those contacts there can be quite a degree of variation in what is possible with respect to reproducibility. In my experience there is an increasing effort on the part of journals another publication venues to make the data underlying research reported and publications available with those publications. This is much easier to do with quantitative data (especially when it is anonymous). Essentially reproducibility boils down to the ability of researchers who may wish to check the results claim to buy other researchers.,1,0.46728972,,1,,1,
I don't use the term in my own research. To me it simply means that a certain result or set of results in a study can be reproduced in another study. ,1,0.46728972,,,,1,
"I have never heard it before in the context of my research. It was never mentioned in any of my PhD training programmes (UK). I assume it means: 'if someone else was to study this topic, would they come to the same conclusions'. In the social sciences, reproducibility is assumed to be difficult to achieve due to each researcher's positionality. Instead, we write our positionalities into our research and don't tend to strive for reproducibility per se, as life scientists would.",1,0.46728972,,,,1,1
I prefer using replicability. It means validate research results with a high degree of reliability if the analysis is replicated,1,0.46728972,1,,1,1,
"I study transportation infrastructure in cities (streets, sidewalks, bus stops, bike lanes, etc.). For any study I complete, I want the methods to be incredibly clear and datasets to be accessible, such that any interested researcher could re-do the entire study. That is how I think about the work being 'reproducible.'",1,0.46728972,,1,1,,
I understand it refers to what extent a research methodology and its resulting data set can be reproduced in other place or by other research team to confirm those original results,1,0.46728972,1,1,1,1,
I understand reproducibility within the frame of teh Galilean Scientific Method,1,0.46728972,,,,,1
I understand this term in direct association with the principles of the scientific method,1,0.46728972,,,,,1
"I would understand it to mean that research findings can be reproduced in additional studies (ie. someone could follow my research design and presumably come up with the same results). It strikes me as a term that makes more sense for researchers using quantitative methods, however. As someone who largely deploys ethnographic and qualitative methods it is hard for me to imagine any of my work ever being reproducible (and would ignore the fact that my research findings are less about my study design and more about my interpretation/analysis). ",1,0.46728972,,,1,1,
"I'm actually not sure. I primarily conduct qualitative research and I'm not familiar with the term when it comes to qualitative research. I use the term transferability, reproducibitlity sound more quantitative.",1,0.46728972,,,,,1
"If another researcher (independent) performs the same experiments as I do, the outcomes should lie within a given uncertainty limit. The experiments should be repeatable and the results not a unique occurrence.",1,0.46728972,,,1,1,
"if some had access to the same research participants/primary sources and were using the same methods, they would come to the same conclusions/analysis",1,0.46728972,,1,1,1,
"If someone were to travel to my study sites, employ a similar sampling strategy and invest a comparable effort in the lab I believe they would come to the same results and conclusions that my colleagues and I did.",1,0.46728972,,1,1,1,
"If you are researching a particular concept/topic and situate it in the current disciplinary understanding, reproducibility means that you're able to apply a known method or establish an accepted understanding in your hypotheses and through your new research effort, confirm or validate that approach or understanding.   ",1,0.46728972,,,,,1
"In a broad sense, reproducibility in my research would mean that the same analysis steps performed on the same dataset always yield the same result. I distinguish it from research that is replicable, robust, or generalizable. Reproducibility requires a series of actions on the part of the researcher, such as when authors provide all the code and data necessary to recreate the analysis, as per Claerbout and Karrenback (1992), or when measurements can be independently obtained with stated precision levels by a different and independent research team, as per Ivie and Thain (2018) in ACM Comput Survey. Similar to Stodden's (2020) approach, I also consider computational reproducibility (code, hardware details, readme are made available), empirical reproducibility (open data, data access issues, appropriate interoperability, metadata, standards, ontological frameworks), and analytics reproducibility (details on model parameters, hyperparameters are made known). In my work, reproducibility crosses over into replicability - and it may be necessary to have replicability as the scientific threshold - where the same analytics performed on different datasets yields similar results. This is due to the fact that many of the datasets I work with are sensitive, containing potentially personally identifiable data, that requires special permission to use, or are not shareable because they are privately held, or are synthetically generated by private organizations. This is similar to code not being shareable if the provenance of legacy code is unavailable. Reproducible research is the gold standard and a desirable characteristic, but it may not always be possible, despite the researcher's desires and intentions.",1,0.46728972,,1,1,1,
"In short, I understand reproducibility to be the ability of other researchers to use the same methods on the same data to produce the same results.",1,0.46728972,,1,1,1,
"In short, the idea of reproducibility implies that, regardless of the researcher, when research is conducted using the same data, methods, and ideas/research questions, subsequent researchers will arrive at the same results.
As a geographer who largely employs qualitative methods, this notion reflects the grotesque extent to which qualitative researchers are expected to scientize (mimic the scientific vernacular, questions, and processes) in their work in order to acquire funding.
Working abroad with populations who do not share the same native language, where there are certainly different views and practices concerning gender, race/ethnicity, education, class, and varying stereotypes of who researchers are, what and why they're researching a particular topic, etc., this kind of notion of ""reproducibility"" is really a ridiculous idea that only the most quantitatively stuck (and socially stunted) human geographers would say is possible. It is not the same thing for physical geographers as it is for human geographers, in the same way that notions of what is generalizable do not align neatly and can even conflict.",1,0.46728972,,1,1,1,
"In the hard sciences it is ability to trace a research process in order to reconstruct how a specific outcome was achieved.
In the social sciences this does not make too much sense and I would interpret reproducibility as and ability to use an established research approach or methodology in order to achieve significant (not identical) results in a different research context ",1,0.46728972,,,1,1,
Interpolation ,1,0.46728972,,,,,1
"It is an experimental standard.
",1,0.46728972,,,,,1
It is possible to reproduce the results with the same data,1,0.46728972,,1,,1,
It is the ability of third parties to obtain the same results presented in a study using the same database.,1,0.46728972,,1,,1,
it means having methods that can be utilized by other researchers to come to similar findings,1,0.46728972,,,1,1,
"Make sure that if other investigators repeat the same kind of analysis, they will obtain similar or same results.",1,0.46728972,,,1,1,
Making your code and data available and explaining how you got there so that someone could carry out your research. ,1,0.46728972,,1,1,,
Methodology which can be used by otjer researchers,1,0.46728972,,,1,,
"Methods and algorithms must be reproducible, i.e. lead to identical results ",1,0.46728972,,,1,1,
"Methods, sampling strategy and decisions during processing and analysis are to be described in detail so that the study can be repeated with a high chance of obtaining similar/identical results. Any inferences and conjectures are to be made explicit.",1,0.46728972,,,1,1,
"Much more limited than even fields with known reproducibility problems, like psychology. I may release some R code and a cleaned data set.",1,0.46728972,,1,1,,1
"My field is luminescence dating. Reproducibility means that I get the same age for more than one sample from the same layer, or that another lab gets the same age from the same sample that I processed.",1,0.46728972,,,,1,1
My interpretation of reproducibility is that results are communicated in a transparent way to ensure the study can be replicated in the future.  ,1,0.46728972,1,,,,
My reporting about the research should be so transparent that other researchers would be able to do the same research and check their results against mine. If possible the data I collected/used should be made available to the public so as to allow a replication study.,1,0.46728972,,1,,1,
"My research is clearly and correctly described, so that the other people can get the same result if he or she do the same thing as I describe.",1,0.46728972,,,1,1,
"My understanding about the term ""reproducibility"" in the context of my own research would imply that certain obtained results would be also obtained, perhaps to a certain degree of similarity, by others researchers using the same methods.",1,0.46728972,,,1,1,
"My understanding is that the quantitative data my colleagues and I collect will be identical, or nearly so, to the data collected from the same site or similar sites by other researchers. Of course, the interpretation of those data will be subject to biases inherently present in each researcher.",1,0.46728972,1,,,,
"My understanding of the term is, that I have to work as scientifically correct and precise as possible, so that consequently others can proof or discard my findings.",1,0.46728972,,,,,1
"new and fresh applications in more fields and innovant changes in these fields, like ITS, land administration, planning, daily life.",1,0.46728972,,,,,1
None. Because I do critical geopolitics.,1,0.46728972,,,,,1
obtaining consistent research findings using the same data and analysis methods ,1,0.46728972,,1,1,1,
Other people who do the same experiment can get roughly equivalent data,1,0.46728972,,,,,1
Others are able to attempt to reproduce my findings in a published journal article give access to data and code. ,1,0.46728972,,1,1,1,
others could conduct same or similar study,1,0.46728972,,,1,,
Others should be able to reproduce/ duplicate a study given they have access to the same data.,1,0.46728972,,1,1,1,
Perhaps it refers to whether a certain methodological approach can be reproduced to answer the same RQ but in a different social/geographical context? I would understand it as a synonym of replicability.,1,0.46728972,1,,,,
"possibility of replicating the studies. This requires that the method is well described, availability of the same data and the same tools (scripts).",1,0.46728972,,1,1,1,
Possibility to recreate the analysis using original data,1,0.46728972,,1,1,1,
"Producing scholarship where the researcher(s) is fully transparent in and open to providing their methodology, literature and theory, data collection procedures, survey questions or ethnographic process if applicable, data sources/archives/sampling procedures, ""collected"" data, modes of analysis, positionality, coding methods, conflicts of interest, ethical standards, etc.; such that another researcher might be able to arrive at similar conclusions.",1,0.46728972,,1,1,1,
"Provide all knowledge, methods, tools and datasets to reproduce the results of your published research and encourage, and make easy,  further applications in different contexts.  ",1,0.46728972,,1,1,1,
Provide the enough details to ensure the potential replication of the work carried by the authors,1,0.46728972,1,,,,
Providing detailed methodologies and possibly data and codes that can be used to reproduce results. Also to enable other researchers use methods confidently in their studies.,1,0.46728972,,1,1,1,
Providing necessary information so that other researchers may replicate the study.,1,0.46728972,1,,,,
"Providing sufficient narrative description, computer code, and data for another expert to fully recreate a published analysis.",1,0.46728972,,1,1,1,
Repeatability of analyses and results,1,0.46728972,,1,1,1,
replicability ,1,0.46728972,1,,,,
"Reproducibility for my research would involve making measured values public, as well as any datasets, so that others might look at the same data and come to a different conclusion. Re-sampling the sites I worked on would be next to impossible, however, due to permits in a foreign country. ",1,0.46728972,1,1,,,1
"Reproducibility has several aspects : 
-describe and make available methods and feedbacks in order to give all possible information to researchers or practitioners who would want to re use methods and protocols in other settings/context (not as easy as it sounds to provide useful and synthetic information, i try to have researchers that obersve experimentation with users to make proper feedsbacks)
-describe/make available methods and tools for appropriation re-use
-publication of analysis and feedbacks and dissemination in research conference and professional events
It is difficult to do all and not always possible (time consuming, intellectual property on data, not paid for in projects for stable and durable online availability, etc.)",1,0.46728972,1, , ,,1
Reproducibility in my case is the possibility of the replicating and repeating of the proposed approach,1,0.46728972,,,1,,
"Reproducibility is related to but is not the same as replication.  In a computational context, it means that someone else can reproduce the workflow of a given study by a sufficiently clear description of the method and the provision of code, data, etc.  This will also allow verification - that the software does what it is intended to do.",1,0.46728972,,1,1,1,
Reproducibility is very important for our research.,1,0.46728972,,,,,1
Reproducibility means being able to create the same outputs using the same data and methods by another researcher. This definition changes slightly depending what science you focus on as it can be altered for more GIS/Data Science researchers as this term is used slightly differently in computer science. ,1,0.46728972,,1,1,1,
Reproducibility refers to the ability of peers to replicate the results of a research study. The results should be reproducible within a small margin of error if a peer follows the same methods outlined by the authors of the original research. ,1,0.46728972,,,1,1,
"Reproducibility suggests the ability of other researchers to replicate in form and function, at least in principle, the research that another scholar has produced. This requires careful detailing by the original researcher of sources, methods, and means of data collection as well as systems of analysis.",1,0.46728972,,,1,1,
"reproducibility to me is the development of knowledge, practices, and analysis protocols in the field and laboratory that can be applied to other places and areas of knowledge that have affinity with physical geography, especially soil science and paleoecology.",1,0.46728972,,,,,1
"Reproducibility” refers to instances in which the original researcher's data and computer codes are used to regenerate the results, while “replicability” refers to instances in which a researcher collects new data to arrive at the same scientific findings as a previous study. In our research we used to this term to understand ""people traditional knowledge in terms of agriculture and soil conservation and other related fields""",1,0.46728972,,1,1,1,
"Reproducible research usually publishes the data used to justify research claims. If the data cannot be published (as in my case), the description of the methods should allow researchers to replicate the results if they had the same data. These are the practical dimensions of reproducibility. Conceptually, reproducibility is about minimizing or eliminating the bias of subjective decisions, or contextualizing your findings with respect to the methodological choices you make as a researcher.",1,0.46728972,,1,1,1,
Reproduction of experimental results by a different research team by applying the same methods described by an initial research group,1,0.46728972,,,1,1,
Research findings or phenomena can be replicated,1,0.46728972,,,,1,
research is replicable by others,1,0.46728972,1,,,,
Research methodology should be described and done in such a way as to allow any researcher to reproduce the same type of study based on the methodology described.,1,0.46728972,,, ,,1
"Research practices (including study design, execution, and reporting) that generate findings which may be reproduced by an independent research team following the same protocol. This requires exhaustive reporting of methods and careful attention to data validity.  ",1,0.46728972,,,1,1,
"samples, data, and methods are curated and described such that another researcher is able to reproduce the results of a study",1,0.46728972,,1,1,1,
Sharing data and code to allow others to reproduce research findings,1,0.46728972,,1,1,1,
Sharing data and code when submitting papers to journals. Drawing figures with code instead of softwares.   ,1,0.46728972,,1,1,,
Someone else being able to reproduce the findings using the methodology provided,1,0.46728972,,,1,1,
"testing whether results, using the same methods, materials, and overall approach, can produce a reliably similar result that provides confidence in the scientific method that allows for objective interpretation and conclusions to be made. ",1,0.46728972,,1,1,1,
"That all aspects of the research can be replicated. Data and sufficient metadata are associated with a study along with code, and or model parameters are documented",1,0.46728972,1,1,1,,
"that another person, conducting a similar experimental setup, or questionnaire, would come to the same conclusions",1,0.46728972,,,1,1,
"That different researchers, presented with the same evidence, will come to broadly equivalent conclusions",1,0.46728972,,1,,1,
"That other people can arrive at similar (if not identical) results if they apply the same assumptions, methods and techniques.",1,0.46728972,,,1,1,
"that other researchers can not only reproduce our study (and results), but also transfer methods to other study areas, update it with new (spatial) data, or evaluate the accuracy/uncertainty of our results.",1,0.46728972,,,1,1,1
"That other researchers could replicate the ethod with broadly the same findings. No guarantee of that in participatory qualitative research, which is context specific.  ",1,0.46728972,1,,1,1,
"That other researchers could use the same or similar methodology without great difficulty and, given similar data, arrive at comparable results",1,0.46728972,,1,1,1,
That other researchers get similar results using similar methods with a similar population,1,0.46728972,,1,1,1,
That others should be able to come to the same results using the same metods and data,1,0.46728972,,1,1,1,
That research can be done again to gain similar results,1,0.46728972,,,,1,
"That research methods are described in such detail that others could reproduce/replicate them, and achieve the same results (e.g., with a statistical analysis, laboratory method, field methods etc.). 

In my field we also use the term ""analytical reproducibility"", which describes how ""reproducible"" /repeatable an instrument measures/analyses a sample/data. This statistic is determined by analysing the same sample several times. ",1,0.46728972,1,,1,1,
"That someone else can get the same results as you. Also, you didn’t p-hack. ",1,0.46728972,,,,1,
That someone else can reproduce the results of a published study. ,1,0.46728972,,,,1,
"That the findings of a study, and methods used to generate them, should be articulated such that any other researcher given the same data would arrive at the same conclusion or interpretation.",1,0.46728972,,1,1,1,
"That the methods can be used to conduct a similar study in a different setting that would provide ""similar"" findings (with site-specific differences. Positionality of the researcher also plays into this)",1,0.46728972,,,,1,1
"That the research process could be carried out (near) identically by another research team, based on reproducible study design, methods, analysis, etc.",1,0.46728972,,,1,,
That your research can be replicated by other researchers following your methodology and produce comparable results.  ,1,0.46728972,1,,1,1,
"The ability for a researcher to use my data and come up with similar results or visit field sites, collect data, and come to similar conclusions. ",1,0.46728972,,1,,1,
The ability for others to conduct the same research using my methodology.,1,0.46728972,,,1,,
The ability for results/observations to be replicated/ reproduced using/following the same methods and techniques. In the context of my field of research the concept is used to test the reliability of data obtained through experimental and observational research.,1,0.46728972,1,,1,,
The ability for someone else to reproduce the results given the input data.,1,0.46728972,,1,,1,
The ability of a research to have its procedures and outcomes reproduced.,1,0.46728972,,,1,1,
"The ability of different researchers to generate the same/similar data, even if they arrive at different conclusions from those data.",1,0.46728972,,,,,1
"The ability of performing the developed/proposed method and achieving the same results as the ones presented in a paper - report. This can be achieved by offering your code as open source or with a detailed description of the methodology, techniques and settings selected during the experiments. ",1,0.46728972,,,1,1,
The ability to conduct the same research as under taken previously by other researchers in terms of data and methods ,1,0.46728972,,1,1,,
The ability to generate consistent results and findings through the developing of appropriate research tools and models,1,0.46728972,,,,1,
The ability to get the same results using the same data and methods as in the original study/paper,1,0.46728972,,1,1,1,
The ability to re-generate exactly the results published based on the data and code provided by the authors.,1,0.46728972,,1,1,1,
The ability to recreate the same experiment or research given similar contexts and resources.,1,0.46728972,,1,1,,
"the ability to repeat a certain study, using similar methods, with the expectation to get similar (or close enough) results as the original study. ",1,0.46728972,,,1,1,
"The ability to reproduce a certain task or method, using only the information provided in the methods section.",1,0.46728972,,,1,,
The chance to replicate the analysis to the data (by different people) obtaining the same results. ,1,0.46728972,1,,,1,
"The data should be real and reproducible. The results should be robust, stable and reproducible by other researchers.",1,0.46728972,,,,,1
"The degree of openness and technical documentation allowing any other research with an appropriate skillset to use our methods, data, and computing environment to recreate the presented results. ",1,0.46728972,,1,1,1,
the description of the analysis should be given in a manner that an expert reader (as research is mostly communicated in written form) should be able to come to the same conclusions using sound scientific analyses and the same data. Access to data is critical as analysis tools generally accessible to anyone with sufficient expertise.,1,0.46728972,,1,,1,
The effects of a proposed method or technique can observed by others and it can be implemented in real scenario.   ,1,0.46728972,,,,,1
The experimental results which will be reproduced by others under the same procedure,1,0.46728972,,,1,1,
The experiments will be repeated successfully.,1,0.46728972,,,1,,
The extent to which a concept or method can be reproduced in a different context. ,1,0.46728972,,,1,,
The extent to which the research design can be replicated in different geographical contexts,1,0.46728972,1,,1,,
The method/result of my research is to be applied in different locations with similar conditions. ,1,0.46728972,,,1,,1
"The methods should provide sufficient information to be able to reproduce the results. In quantitative science this should, at minimum, provide all the equations and algorithms used for any calculation. In the interest of increasing transparency in science, the practice of sharing the code should be encouraged.",1,0.46728972,,,1,1,
The objective of testing the results by using the same  methods,1,0.46728972,,,1,,
"The other researchers should be able to reproduce the results ...and that methodology should be described to support this option. 
Another aspect is whether my results reproduce the results of others. I see this as an important part of commentary and discussion of findings.",1,0.46728972,,,1,1,
"The posisbility to repeat the same experiment exactly with the same results on the same data, the use of a methodology tested on a given area on another area with similar performance",1,0.46728972,,1,1,1,
"The possibility to reproduce an enquiry (approach, data collection methods, data analysis, etc.) in another place and/or by other people, in order to strengthen knowledge. ",1,0.46728972,,,1,,
the proposed method can be reproduced by others with similar results ,1,0.46728972,,,1,1,
The research can be repeated with the same condition.,1,0.46728972,,,1,,
the research should be able to replicate to other area/case with similar concept or same method.,1,0.46728972,1,,1,,
"The research would be re-doable by other researchers, with the same or similar data, and the results would be comparable. ",1,0.46728972,,1,,1,
The results obtained by statistical analysis of data should be achieved again when the study is replicated,1,0.46728972,1,,,1,
"The use of Methods that allow other researchers (or the same researchers in different points in time) to administer the same tool, with comparable or equal samples, with the chance of comparing or complementing results ",1,0.46728972,,,1,1,
"There are two slightly different meanings for ""reproducibility"" for me. For all of my work, ""reproducibility"" requires adequate description of the methods involved in gathering and analyzing data. By ""adequate"" I mean a peer could duplicate the techniques in the same or similar contexts, but not necessarily with precisely the same data. This includes both quantitative (survey, census, etc.) data and qualitative information (interviews, documents, etc.) With the latter, for example, the identity of the interviewees is typically confidential, and non-anonymous survey data cannot be shared. 

For quantitative work, reproducibility means that peers would arrive at precisely the same conclusions using the (anonymous) data and analytic techniques. This is primarily a check on errors in the data and analyses, and a check on fraudulent practices. They may arrive at different conclusions using the same data but different techniques, or when combined with additional data. And of course, they may have different interpretations of the same results. ",1,0.46728972,,1,1,1,1
"to be able to repeat research (e.g. at another time, other case studies) and further to make research comprehensible",1,0.46728972,1,,,,1
To be able to reproduce the results using the same method and techical steps,1,0.46728972,,,1,1,
"To be able to reproduce, extrapolate and transfer approaches/outputs",1,0.46728972,1,,,,1
to me this term would mean that the methods that have been used to conduct the research can be 'reproduced' by another researcher.  not quite the scientific hypothesis appraoch but not dissimilar ,1,0.46728972,,,1,,1
"To my understanding, reproducibility is a way in which a method, tool, and concept that one has originally produced in his/her research work can be reproduced in other research activities.  For example, OSMnx is a simple python code tool that has been developed by Prof. Geoff Boeing. The tool is used by other researchers to extract road networks from OSM. The road networks that are extracted using this tool can also be reproduced in many ways in ArcGIS.",1,0.46728972,,,,,1
"To publish data and software which led to the research results related to a published study/article. If the results are also data (GIS models/maps, simulation/modelling results) they should also be published",1,0.46728972,,1,1,1,
To reproduce the outcomes that other independent researchers has generated and probably published,1,0.46728972,,,,1,
transparancy about connectio between data. methods and results,1,0.46728972,,,,,1
"Using the same data and the same algorithm, it should be possible to reproduce any stated results exactly (i.e. to the rounding function of one's computer).",1,0.46728972,,1,1,1,
Whether someone else following the same methodology would reproduce the same results,1,0.46728972,,,1,1,
"Working from a qualitative paradigm, research standards should be rigorous and transparent but qualitative research isn't necessarily reproducible - especially for ethnography, which is my preferred methodological approach. But outside of qualitative work I understand ""reproducibility"" to mean that statistical/data/empicial evidence should be able to be examined and analysis conducted by other researchers should be able to replicate the steps that the original researcher took to achieve their results. ",1,0.46728972,,,1,1,
Would similar results be obtained from a study of the process under similar conditions.  Would another research be able to obtain these similar results.,1,0.46728972,,,1,1,
