,StartDate,EndDate,Status,Progress,Duration..in.seconds.,Finished,RecordedDate,ResponseId,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q3_5_TEXT,Q4,Q5,Q6,Q7a,Q7a_1,Q7a_2,Q7a_3,Q7b,Q7b_1,Q7c,Q7c_1,Q7c_2,Q7c_3,Q7d,Q7d_1,Q7d_2,Q7e,Q7e_1,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q9_7,Q10,Q11_1,Q11_2,Q11_3,Q12_1,Q12_2,Q12_3,Q12_4,Q12a,Q13_1_1,Q13_2_1,Q14_1,Q14_2,Q14_3,Q14_4,Q14_5,Q14_6,Q14_7,Q14_8,Q14_9,Q14_10,Q14_11,Q14_12,Q15,Q16,Q16_5_TEXT,Q17_1,Q17_2,Q17_3,Q17_4,Q17_5,Q17_6,Q17_7,Q17_8,Q17_9,Q17_10,Q17a,Q18,Q19,Q19_9_TEXT,Q20,Q20_5_TEXT,Q21,Q21_7_TEXT,Q22,Q23
13,5/17/2022 13:49,5/17/2022 14:02,IP Address,100,799,TRUE,5/17/2022 14:02,R_10JeWlbhc0UXt1U,,50.7361,7.0235,email,EN,35-54 years old,Yes,"Geographic methods, GIS, spatial statistics",,Quantitative,To a great extent,"Methods and algorithms must be reproducible, i.e. lead to identical results ",Somewhat,Most of the time,"Data cleaning or pre-processing,Data analysis,Data visualization or mapping",Some of the time,To a great extent,Always,Somewhat,Rarely,Rarely,Rarely,Somewhat,Never,,Not at all,,Agree,Disagree,Disagree,Agree,Strongly agree,Strongly disagree,Yes,Yes,Yes,No,No,Yes,Yes,"reproduction attempt based on scientific publications without code or data
implementation of published methods for my own research, no direct reproduction of the initial study",None,Some,Some,No,No,Did not attempt,No,,20,30,Rarely,Occasionally,Occasionally,Rarely,Occasionally,Rarely,Never,Rarely,Occasionally,Occasionally,Rarely,Rarely,,"Principal investigator of the study,Peer-reviewer(s)",,Somewhat important,Somewhat not important,Very important,Somewhat important,Somewhat not important,Somewhat not important,Somewhat important,Somewhat important,Somewhat important,Somewhat not important,,16+ people,Post-doctoral fellow,,Male,,White,,Germany,I would like to be entered into the prize draw
14,5/17/2022 13:51,5/17/2022 14:03,IP Address,100,696,TRUE,5/17/2022 14:03,R_1qbbEWvLKLKk5cO,,44.4117,26.0422,email,EN,35-54 years old,Yes,Other (specify),Cartography,Mixed Methods,Somewhat,To be able to reproduce the results using the same method and techical steps,To a great extent,Always,"Obtaining or collecting data,Data cleaning or pre-processing,Data analysis,Data visualization or mapping",Most of the time,To a great extent,Most of the time,To a great extent,Most of the time,Always,Always,Somewhat,Some of the time,Rarely,Somewhat,Some of the time,Agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Disagree,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Some,Some,,"Yes, all","Yes, all","Yes, all","Yes, all",,90,100,Rarely,Rarely,Occasionally,Occasionally,Occasionally,Occasionally,Rarely,Occasionally,Rarely,Rarely,Occasionally,Occasionally,,Principal investigator of the study,,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,,2 - 5 people,Associate professor/lecturer,,Male,,White,,Romania,I would like to be entered into the prize draw
15,5/17/2022 13:55,5/17/2022 14:03,IP Address,100,440,TRUE,5/17/2022 14:03,R_cvyXNRYOpcfkcWR,,-33.8715,151.2006,email,EN,35-54 years old,Yes,Nature and society,,Qualitative,Not at all,,Not at all,,,,Not at all,,Not at all,,,,Not at all,,,Not at all,,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,This is totally not a thing in qualitative / cultural geography research. I get why it is in STEM/quant research but my fields are trying to explore nuance and detail of specific lives experiences. Reproducibility is not possible or desirable ,,,Not important,Not important,Not important,Not important,Not important,Not important,Not important,Not important,Not important,Not important,,,Post-doctoral fellow,,Female,,White,,Australia,
16,5/17/2022 13:56,5/17/2022 14:08,IP Address,100,711,TRUE,5/17/2022 14:08,R_210dqZwp8BJROy6,,33.7215,-118.0509,email,EN,18-34 years old,Yes,"Physical geography, earth and environmental sciences",,Quantitative,To a great extent,Reproducibility refers to the ability of peers to replicate the results of a research study. The results should be reproducible within a small margin of error if a peer follows the same methods outlined by the authors of the original research. ,To a great extent,Most of the time,"Data analysis,Data visualization or mapping",Always,To a great extent,Always,To a great extent,Always,Always,Always,To a great extent,Never,,Not at all,,Strongly disagree,Agree,Strongly agree,Agree,Agree,Disagree,Yes,Yes,Yes,Yes,Yes,Yes,No,,,,,,,,,,25,50,Never,Frequently,Rarely,Frequently,Occasionally,Frequently,Frequently,Frequently,Frequently,Frequently,Rarely,Occasionally,,"Principal investigator of the study,Peer-reviewer(s),Journal editor(s)",,Very important,Very important,Very important,Somewhat not important,Somewhat important,Very important,Very important,Somewhat not important,Very important,Very important,,2 - 5 people,Research scientist,,Male,,White,,United States of America,I would like to be entered into the prize draw
17,5/17/2022 14:06,5/17/2022 14:15,IP Address,100,574,TRUE,5/17/2022 14:15,R_3m9aQmWwPcB0bqP,,40.6643,-73.9763,email,EN,18-34 years old,Yes,Human geography,,Quantitative,To a great extent,Any findings I produce through my research should be replicable by other scholars,To a great extent,Some of the time,"Data cleaning or pre-processing,Data analysis,Data visualization or mapping",Most of the time,Very little,Some of the time,To a great extent,Some of the time,Always,Never,To a great extent,Rarely,Never,Very little,Never,Agree,Disagree,Agree,Agree,Agree,Disagree,Yes,No,No,No,No,No,Yes,Concerns that I had made errors in the original analysis,Some,All,None,"Yes, all","Yes, all","Yes, all",Did not attempt,Did not attempt,70,60,Rarely,Frequently,Frequently,Frequently,Frequently,Frequently,Occasionally,Occasionally,Occasionally,Rarely,Frequently,Rarely,Researcher error in data analysis ,"Principal investigator of the study,Journal editor(s),Funding agency,Other (specify)",Researcher's institution should provide more incentives to consider reproducibility,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,,1 person,"Graduate student (PhD, masters)",,Female,,White,,United States of America,I would like to be entered into the prize draw
18,5/17/2022 13:42,5/17/2022 14:22,IP Address,100,2401,TRUE,5/17/2022 14:22,R_2EcnLo1yZr0j9og,,-22.895,-47.0439,email,EN,35-54 years old,Yes,"Physical geography, earth and environmental sciences",,Mixed Methods,To a great extent,A description of the scientific observations in order to enable the replication and progress of results attained by the study. ,To a great extent,Most of the time,"Obtaining or collecting data,Data cleaning or pre-processing,Data analysis,Data visualization or mapping",Some of the time,To a great extent,Most of the time,To a great extent,Some of the time,Always,Always,To a great extent,Some of the time,Most of the time,To a great extent,Some of the time,Disagree,Agree,,Strongly agree,Strongly disagree,Strongly agree,Yes,Yes,Yes,Yes,No,Yes,Yes,"I worked with biologists that showed me the publication categorical: data paper. So, Now, I try always to write my project with a management data file (description of data) to be published as supplementary material or data paper to highlight the discussion of the object studied.",Some,All,Some,"Yes, all","Yes, some","Yes, some",No,I'm still writing my manuscripts to be submitted,80,90,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Rarely,Frequently,Frequently,Frequently,,"Principal investigator of the study,Funding agency",,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Somewhat important,Very important,,16+ people,"Graduate student (PhD, masters)",,Male,,Hispanic,,Brazil,I would like to be entered into the prize draw
19,5/17/2022 13:41,5/17/2022 14:25,IP Address,100,2647,TRUE,5/17/2022 14:25,R_dn9L8gDqkGb1qjn,,51.1043,17.0335,email,EN,35-54 years old,Yes,Human geography,,Mixed Methods,Very little,"Carrying out the research and describing it in such a way that it can be repeated (by the same or other teams), in order to assess: the correctness of the results, differences between the surveyed different communities (the question of comparability of results), or changes over time",Very little,Rarely,"Obtaining or collecting data,Data cleaning or pre-processing",Rarely,Very little,Never,Very little,Rarely,Never,Never,Very little,Never,,Not at all,,Disagree,Agree,Disagree,Agree,Agree,Disagree,No,No,No,Yes,No,No,No,,,,,,,,,,50,50,Rarely,Rarely,Occasionally,Frequently,Frequently,Occasionally,Rarely,Occasionally,Frequently,Rarely,Occasionally,Rarely,"Reluctance to share raw data, which either cost a lot or was collected with great effort and we hope to use it again (Why should I give my data to everyone for free?). As a result, we don't want to make them public. Even in group teams, disputes arise as to who may use the jointly collected data in the future. At our university, there were even official judgments as to whether someone had the right to use the data on their own (for a new article) or not, when they were previously collected in groups. And let's make them public for everyone! The authors do not want to make the data public, treating it as something covered by copyright. I also think that psychological considerations can make a difference. Additionally, in Poland, no attention has been paid to the issue of publishing the collected raw data to the public. We had no such traditions in unwritten social norms, nor in written rules. Only for a few years have national grants require open publications.","Principal investigator of the study,Funding agency",,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat not important,Somewhat not important,Somewhat not important,Very important,"Possibility of examining long-term changes (if the test is repeated with the same method, it is possible to assess what long-term changes are taking place in the society). The previous researcher may be inactive or even dead.",11 - 15 people,Associate professor/lecturer,,Male,,White,,Poland,
20,5/17/2022 14:12,5/17/2022 14:26,IP Address,100,836,TRUE,5/17/2022 14:26,R_3Gr0AtGn2u1G402,,-41.3004,174.7804,email,EN,18-34 years old,Yes,Nature and society,,Qualitative,To a great extent,Conduction get  research in a manner that allows a different team to produce similar results by  following the same method,To a great extent,Most of the time,,Some of the time,Somewhat,Rarely,Somewhat,Never,,Never,To a great extent,Never,,To a great extent,Never,Strongly disagree,Strongly disagree,Disagree,Agree,Strongly disagree,Strongly agree,No,Yes,Yes,No,No,No,No,,,,,,,,,,15,1,Rarely,Rarely,Rarely,,,,,,Frequently,,,Frequently,Simply not relevant to predominant methodologies ,Other (specify),Noone,Not important,Not important,Not important,Not important,Not important,Not important,Not important,Not important,Somewhat not important,Not important,,2 - 5 people,Associate professor/lecturer,,Male,,White,,New Zealand,I would like to be entered into the prize draw
21,5/17/2022 14:07,5/17/2022 14:29,IP Address,100,1335,TRUE,5/17/2022 14:29,R_2bTTqlXUMRaDvse,,33.9449,-117.3834,email,EN,35-54 years old,Yes,Human geography,,Qualitative,To a great extent,"Producing scholarship where the researcher(s) is fully transparent in and open to providing their methodology, literature and theory, data collection procedures, survey questions or ethnographic process if applicable, data sources/archives/sampling procedures, ""collected"" data, modes of analysis, positionality, coding methods, conflicts of interest, ethical standards, etc.; such that another researcher might be able to arrive at similar conclusions.",To a great extent,Always,"Obtaining or collecting data,Data cleaning or pre-processing,Data analysis,Data visualization or mapping",Rarely,Somewhat,Never,Somewhat,Some of the time,Never,Never,To a great extent,Always,Always,Not at all,,Disagree,Agree,Agree,,,Agree,No,No,No,No,No,No,No,,,,,,,,,,50,25,Occasionally,Rarely,Rarely,Frequently,Rarely,Occasionally,Never,Occasionally,Frequently,Frequently,Rarely,Frequently,"Access to research subjects/ethnographic spaces, IRB constraints, use of theory and subjectivity, and the specific political, geographical, and temporal conditions under which research is conducted.","Principal investigator of the study,Peer-reviewer(s),Journal editor(s),Funding agency",,Somewhat important,Somewhat important,Somewhat important,Somewhat not important,Somewhat not important,Somewhat not important,Somewhat important,Somewhat not important,Somewhat important,Somewhat important,research ethics,1 person,Assistant professor/lecturer,,Male,,Asian,,United States of America,I would like to be entered into the prize draw
22,5/17/2022 13:49,5/17/2022 14:30,IP Address,100,2436,TRUE,5/17/2022 14:30,R_WkbjkBHgQBHjN17,,41.6344,-91.5054,email,EN,18-34 years old,Yes,"Physical geography, earth and environmental sciences",,Mixed Methods,To a great extent,"Here is my personal definition of 'reproducibility': a method to evaluate study findings by repeating the experiment using the same parameters (potentially numerous times) and comparing the resulting data sets. Having dissimilar (nonreproduced) values may call the validity of the study’s methods into question, but it does not necessarily automatically invalidate the initial findings.
Reproducibility, in my opinion, seems to be a growing issue in certain quantitative studies, e.g. lab or survey work. 
My work is creating surficial geologic maps. In this context, the issue of reproducibility is unlikely to be realistically address due to some qualitative methods. The product is a representation of sedimentological and lithological interpretations which based on numerous observations which are combined with past knowledge to create interpretations. The scale, effort, and opportunistic nature (e.g. seeing a newly dug construction site) of data collection does not allow for the work to be easily reproduced. Areas are rarely re-mapped at the same scale. Some areas are not remapped in the same century. In other words, once created these maps are authoritative for generations. Which is not necessarily a good thing. 
",Somewhat,Rarely,"Obtaining or collecting data,Data visualization or mapping",Most of the time,To a great extent,Most of the time,To a great extent,Always,Most of the time,Always,Not at all,,,Very little,Never,Disagree,Disagree,Agree,Strongly agree,Disagree,Strongly agree,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One instance is that I tried to reproduce a data set that would show a specific erosional process based on higher resolution datasets. ,None,Some,Some,"Yes, some","Yes, some",Did not attempt,"Yes, some",,75,80,Rarely,Rarely,,Occasionally,Rarely,Occasionally,Never,Rarely,Frequently,Rarely,Frequently,Occasionally,"lack of duplicates of physical samples for analysis. For instance, radiocarbon samples are rarely kept after analysis for reanalysis by a different lab. ","Principal investigator of the study,Funding agency",,Somewhat important,Somewhat important,Somewhat not important,Somewhat not important,Somewhat important,Somewhat not important,Somewhat important,Somewhat important,Somewhat important,Very important,,6 - 10 people,Research scientist,,Male,,White,,United States of America,I would like to be entered into the prize draw
23,5/17/2022 14:15,5/17/2022 14:31,IP Address,100,953,TRUE,5/17/2022 14:31,R_1j7i2WEIfV0Q6pC,,42.6969,-84.5464,email,EN,35-54 years old,Yes,Human geography,,Qualitative,To a great extent,"In short, the idea of reproducibility implies that, regardless of the researcher, when research is conducted using the same data, methods, and ideas/research questions, subsequent researchers will arrive at the same results.
As a geographer who largely employs qualitative methods, this notion reflects the grotesque extent to which qualitative researchers are expected to scientize (mimic the scientific vernacular, questions, and processes) in their work in order to acquire funding.
Working abroad with populations who do not share the same native language, where there are certainly different views and practices concerning gender, race/ethnicity, education, class, and varying stereotypes of who researchers are, what and why they're researching a particular topic, etc., this kind of notion of ""reproducibility"" is really a ridiculous idea that only the most quantitatively stuck (and socially stunted) human geographers would say is possible. It is not the same thing for physical geographers as it is for human geographers, in the same way that notions of what is generalizable do not align neatly and can even conflict.",Somewhat,Rarely,"Obtaining or collecting data,Data visualization or mapping",Rarely,Very little,Never,To a great extent,Always,Never,Never,Somewhat,Never,,Somewhat,Never,Strongly disagree,Agree,Disagree,Disagree,Strongly disagree,Strongly agree,Yes,Yes,Yes,Yes,No,Yes,No,,,,,,,,,,65,15,Rarely,Never,Occasionally,Occasionally,Occasionally,Occasionally,Rarely,Occasionally,Rarely,Occasionally,Occasionally,Frequently,,"Principal investigator of the study,Peer-reviewer(s),Journal editor(s),Funding agency",,Somewhat not important,Somewhat not important,Somewhat important,Somewhat not important,Somewhat important,Somewhat not important,Somewhat not important,Somewhat important,Somewhat important,Very important,,1 person,Associate professor/lecturer,,Male,,White,,United States of America,I would like to be entered into the prize draw
24,5/17/2022 14:26,5/17/2022 14:36,IP Address,100,630,TRUE,5/17/2022 14:36,R_2WOMddXLQYsDaPg,,33.792,-84.2049,email,EN,55+ years old,Yes,Human geography,,Qualitative,Somewhat,"Can results be reproduced?  As a qualitative methodologist, it is not as important as to others.",Somewhat,Rarely,Obtaining or collecting data,Rarely,Very little,Rarely,Very little,Never,,Never,Not at all,,,Not at all,,Disagree,Disagree,Disagree,Disagree,Agree,Agree,No,No,No,No,No,No,No,,,,,,,,,,25,Human Geography,Occasionally,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,,Principal investigator of the study,,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,,1 person,Associate professor/lecturer,,Female,,White,,United States of America,
